element_name,id,duplicate_id
electoral_district,320178706,320202702
electoral_district,320202702,320178706
electoral_district,320202703,320178707
electoral_district,320178707,320202703
electoral_district,320202704,320178708
electoral_district,320178708,320202704
electoral_district,320178709,320202707
electoral_district,320202707,320178709
electoral_district,320202708,320178710
electoral_district,320178710,320202708
electoral_district,320156637,320170625
electoral_district,320170625,320156637
electoral_district,320174637,320170629
electoral_district,320170629,320174637
electoral_district,320160661,320210622
electoral_district,320210622,320160661
electoral_district,320210623,320160662
electoral_district,320160662,320210623
electoral_district,32076537,320108553
electoral_district,32076537,32038571
electoral_district,32076537,320100559
electoral_district,32076537,32058530
electoral_district,32076537,32050525
electoral_district,320108553,32076537
electoral_district,320108553,32038571
electoral_district,320108553,320100559
electoral_district,320108553,32058530
electoral_district,320108553,32050525
electoral_district,32038571,32076537
electoral_district,32038571,320108553
electoral_district,32038571,320100559
electoral_district,32038571,32058530
electoral_district,32038571,32050525
electoral_district,320100559,32076537
electoral_district,320100559,320108553
electoral_district,320100559,32038571
electoral_district,320100559,32058530
electoral_district,320100559,32050525
electoral_district,32058530,32076537
electoral_district,32058530,320108553
electoral_district,32058530,32038571
electoral_district,32058530,320100559
electoral_district,32058530,32050525
electoral_district,32050525,32076537
electoral_district,32050525,320108553
electoral_district,32050525,32038571
electoral_district,32050525,320100559
electoral_district,32050525,32058530
electoral_district,320100550,32076547
electoral_district,320100550,32038562
electoral_district,320100550,320108568
electoral_district,320100550,32058577
electoral_district,320100550,32050532
electoral_district,32076547,320100550
electoral_district,32076547,32038562
electoral_district,32076547,320108568
electoral_district,32076547,32058577
electoral_district,32076547,32050532
electoral_district,32038562,320100550
electoral_district,32038562,32076547
electoral_district,32038562,320108568
electoral_district,32038562,32058577
electoral_district,32038562,32050532
electoral_district,320108568,320100550
electoral_district,320108568,32076547
electoral_district,320108568,32038562
electoral_district,320108568,32058577
electoral_district,320108568,32050532
electoral_district,32058577,320100550
electoral_district,32058577,32076547
electoral_district,32058577,32038562
electoral_district,32058577,320108568
electoral_district,32058577,32050532
electoral_district,32050532,320100550
electoral_district,32050532,32076547
electoral_district,32050532,32038562
electoral_district,32050532,320108568
electoral_district,32050532,32058577
electoral_district,320100556,32050537
electoral_district,320100556,32058596
electoral_district,320100556,320108577
electoral_district,320100556,32038528
electoral_district,320100556,32076552
electoral_district,32050537,320100556
electoral_district,32050537,32058596
electoral_district,32050537,320108577
electoral_district,32050537,32038528
electoral_district,32050537,32076552
electoral_district,32058596,320100556
electoral_district,32058596,32050537
electoral_district,32058596,320108577
electoral_district,32058596,32038528
electoral_district,32058596,32076552
electoral_district,320108577,320100556
electoral_district,320108577,32050537
electoral_district,320108577,32058596
electoral_district,320108577,32038528
electoral_district,320108577,32076552
electoral_district,32038528,320100556
electoral_district,32038528,32050537
electoral_district,32038528,32058596
electoral_district,32038528,320108577
electoral_district,32038528,32076552
electoral_district,32076552,320100556
electoral_district,32076552,32050537
electoral_district,32076552,32058596
electoral_district,32076552,320108577
electoral_district,32076552,32038528
electoral_district,32082550,32020509
electoral_district,32082550,32060540
electoral_district,32082550,320114556
