"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"EDGEWOOD MIDDLE SCHOOL","5005 TRENTON OXFORD RD","","","TRENTON","OH","45067","(AUDITORIUM - GYM )","6:30 am - 7:30 pm","","3941008483"
"BOARD OF ELECTIONS","1802 PRINCETON RD","","","HAMILTON","OH","45011","(CONFERENCE RM C)","6:30 am - 7:30 pm","","3941002540"
"CRAWFORD WOODS ELEM SCHOOL","2200 HENSLEY AVE","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002551"
"NORTH FAIRFIELD BAPTIST CHURCH","6853 GILMORE RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002552"
"BUTLER TECH EDUCATIONAL RESOURCE CENTER","3603 HAMILTON MIDDLETOWN RD","","","HAMILTON","OH","45011","(MEETING ROOM)","6:30 am - 7:30 pm","","3941002553"
"NORTH FAIRFIELD BAPTIST CHURCH","6853 GILMORE RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002554"
"FAIRFIELD NORTH ELEMENTARY","6116 MORRIS RD","","","HAMILTON","OH","45011","(GYM)","6:30 am - 7:30 pm","","3941002555"
"FRESNO BIBLE CHURCH","24629 SR 93","","","FRESNO  OH","OH","43824","FRESNO BIBLE CHURCH","6:30 am - 7:30 pm","","3941007469"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100739"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100740"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100741"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100742"
"FAIRGROUNDS YOUTH BUILDING","610 WHETSTONE ST","","","BUCYRUS","OH","44820","610 WHETSTONE ST, BUCYRUS","6:30 am - 7:30 pm","","394100743"
