id,duplicate_id
54101999905320,54101999849688
54101999849688,54101999905320
54101999424017,54101999740632
54101999740632,54101999424017
541019991206783,54101999312466
54101999462221,54101999757832
54101999312466,541019991206783
54101999757832,54101999462221
5410199968546,54101999794486
54101999794486,5410199968546
54101999941931,5410199995524
5410199995524,54101999941931
54101999612351,541019991094732
541019991094732,54101999612351
54101999585090,54101999522120
54101999522120,54101999585090
54101999773676,5410199999391
5410199999391,54101999773676
54101999343822,54101999683418
54101999683418,54101999343822
54101999168263,54101999302498
54101999489147,54101999305551
54101999305551,54101999489147
54101999302498,54101999168263
54101999684672,54101999388345
54101999388345,54101999684672
5410199911118,541019991120190
541019991120190,5410199911118
541019991094797,54101999780620
54101999780620,541019991094797
54101999108933,54101999126170
54101999126170,54101999108933
54101999818198,54101999539148
54101999539148,54101999818198
54101999365342,54101999459529
54101999459529,54101999365342
54101999546303,54101999626740
54101999626740,54101999546303
54101999928161,54101999909988
54101999909988,54101999928161
54101999971124,541019991135167
541019991135167,54101999971124
54101999479901,541019991202132
541019991202132,54101999479901
54101999861333,541019991144051
541019991144051,54101999861333
54101999540862,54101999694111
54101999694111,54101999540862
541019991122784,54101999498884
54101999212496,54101999264059
54101999507379,54101999304765
54101999989360,54101999725249
54101999989360,54101999946553
54101999989360,541019991166722
54101999989360,54101999371676
54101999989360,541019991125376
54101999682926,54101999961398
54101999658118,5410199940927
54101999658118,54101999223531
54101999658118,541019991169926
5410199983905,54101999154319
54101999848015,54101999907728
54101999655692,54101999890372
54101999655692,54101999635482
54101999667258,54101999290576
5410199979294,54101999234423
5410199979294,54101999616109
5410199979294,54101999450906
54101999229021,54101999403894
54101999957536,541019991067468
54101999961398,54101999682926
5410199980195,54101999471291
54101999725249,54101999989360
54101999725249,54101999946553
54101999725249,541019991166722
54101999725249,54101999371676
54101999725249,541019991125376
54101999946553,54101999989360
54101999946553,54101999725249
54101999946553,541019991166722
54101999946553,54101999371676
54101999946553,541019991125376
5410199989357,54101999443097
5410199940927,54101999658118
5410199940927,54101999223531
5410199940927,541019991169926
54101999907728,54101999848015
54101999443097,5410199989357
54101999890372,54101999655692
54101999890372,54101999635482
54101999234423,5410199979294
54101999234423,54101999616109
54101999234423,54101999450906
54101999483124,54101999884100
54101999483124,54101999506005
54101999884100,54101999483124
54101999884100,54101999506005
541019991166722,54101999989360
541019991166722,54101999725249
541019991166722,54101999946553
541019991166722,54101999371676
541019991166722,541019991125376
54101999223531,54101999658118
54101999223531,5410199940927
54101999223531,541019991169926
541019991077715,54101999365783
541019991169926,54101999658118
541019991169926,5410199940927
541019991169926,54101999223531
54101999471291,5410199980195
54101999403894,54101999229021
54101999616109,5410199979294
54101999616109,54101999234423
54101999616109,54101999450906
541019991067468,54101999957536
54101999879717,54101999564820
54101999365783,541019991077715
54101999388507,54101999636265
54101999154319,5410199983905
541019991129817,54101999552991
54101999264059,54101999212496
54101999552991,541019991129817
54101999450906,5410199979294
54101999450906,54101999234423
54101999450906,54101999616109
54101999564820,54101999879717
54101999371676,54101999989360
54101999371676,54101999725249
54101999371676,54101999946553
54101999371676,541019991166722
54101999371676,541019991125376
54101999635482,54101999655692
54101999635482,54101999890372
54101999636265,54101999388507
54101999290576,54101999667258
541019991125376,54101999989360
541019991125376,54101999725249
541019991125376,54101999946553
541019991125376,541019991166722
541019991125376,54101999371676
54101999498884,541019991122784
54101999304765,54101999507379
54101999506005,54101999483124
54101999506005,54101999884100
541019991200194,54101999982898
54101999982898,541019991200194
54101999160108,541019991086228
541019991086228,54101999160108
541019991213999,54101999615080
54101999615080,541019991213999
5410199997066,54101999258182
54101999258182,5410199997066
541019991090124,54101999752370
54101999804858,5410199964986
54101999804858,54101999475394
54101999804858,54101999245629
5410199953514,54101999274200
541019991073037,54101999651907
54101999372549,5410199969877
54101999372549,54101999508108
54101999372549,54101999240463
54101999372549,54101999669884
5410199964986,54101999804858
5410199964986,54101999475394
5410199964986,54101999245629
54101999475394,54101999804858
54101999475394,5410199964986
54101999475394,54101999245629
54101999279003,54101999610010
54101999512917,541019991145711
54101999470490,54101999917135
5410199969877,54101999372549
5410199969877,54101999508108
5410199969877,54101999240463
5410199969877,54101999669884
54101999385161,54101999607872
54101999512981,54101999313166
54101999512981,54101999710789
54101999651907,541019991073037
54101999274200,5410199953514
54101999508108,54101999372549
54101999508108,5410199969877
54101999508108,54101999240463
54101999508108,54101999669884
54101999245629,54101999804858
54101999245629,5410199964986
54101999245629,54101999475394
54101999917135,54101999470490
54101999240463,54101999372549
54101999240463,5410199969877
54101999240463,54101999508108
54101999240463,54101999669884
54101999902363,54101999321307
54101999902363,54101999722663
54101999321307,54101999902363
54101999321307,54101999722663
54101999669884,54101999372549
54101999669884,5410199969877
54101999669884,54101999508108
54101999669884,54101999240463
54101999584946,541019991118569
54101999313166,54101999512981
54101999313166,54101999710789
54101999776164,54101999992061
54101999992061,54101999776164
54101999610010,54101999279003
54101999710789,54101999512981
54101999710789,54101999313166
54101999607872,54101999385161
541019991118569,54101999584946
54101999752370,541019991090124
541019991145711,54101999512917
54101999722663,54101999902363
54101999722663,54101999321307
54101999947062,54101999444162
54101999455728,54101999750801
541019991161110,541019991123717
541019991161110,541019991090560
541019991161110,54101999743591
54101999444162,54101999947062
541019991123717,541019991161110
541019991123717,541019991090560
541019991123717,54101999743591
541019991210694,54101999259178
541019991090560,541019991161110
541019991090560,541019991123717
541019991090560,54101999743591
54101999750801,54101999455728
54101999259178,541019991210694
54101999743591,541019991161110
54101999743591,541019991123717
54101999743591,541019991090560
54101999769991,54101999573591
54101999573591,54101999769991
54101999741491,54101999926158
54101999741491,54101999426149
54101999926158,54101999741491
54101999926158,54101999426149
54101999839855,54101999803422
54101999721985,54101999422537
54101999803422,54101999839855
54101999426149,54101999741491
54101999426149,54101999926158
54101999422537,54101999721985
541019991113245,54101999153562
54101999153562,541019991113245
54101999369263,54101999557529
54101999557529,54101999369263
54101999692674,541019991024269
54101999692674,5410199968782
54101999706550,5410199982391
54101999240443,541019991001792
541019991024269,54101999692674
541019991024269,5410199968782
541019991001792,54101999240443
54101999788521,541019991096480
5410199968782,54101999692674
5410199968782,541019991024269
5410199982391,54101999706550
5410199938075,5410199956726
541019991096480,54101999788521
5410199956726,5410199938075
54101999234965,5410199985477
54101999234965,54101999190767
54101999619438,54101999847772
54101999619438,54101999574976
5410199985477,54101999234965
5410199985477,54101999190767
541019991214133,541019991127734
54101999729665,54101999930197
54101999729665,54101999499732
54101999110639,54101999103895
541019991116380,54101999852099
541019991116380,54101999854111
5410199976698,54101999627813
5410199976698,54101999717573
5410199976698,5410199936355
5410199976698,5410199967775
5410199976698,5410199926547
5410199976698,5410199961627
5410199976698,54101999783271
5410199976698,54101999491881
5410199976698,54101999566074
5410199976698,54101999988117
541019991215230,54101999608962
54101999117662,54101999378890
54101999627813,5410199976698
54101999627813,54101999717573
54101999627813,5410199936355
54101999627813,5410199967775
54101999627813,5410199926547
54101999627813,5410199961627
54101999627813,54101999783271
54101999627813,54101999491881
54101999627813,54101999566074
54101999627813,54101999988117
5410199992242,54101999351261
5410199992242,54101999841379
5410199992242,54101999322205
5410199992242,54101999469436
5410199992242,54101999634415
