id,duplicate_id
3989000159462,3989000205518
3989000205518,3989000159462
3989000121001,3989000121009
3989000121009,3989000121001
3989000159745,3989000159777
3989000159777,3989000159745
3989000253262,3989000253815
3989000253815,3989000253262
3989000118449,3989000142633
3989000142633,3989000118449
3989000253101,3989000252885
3989000252885,3989000253101
3989000199969,3989000199949
3989000199949,3989000199969
398900076327,398900076312
398900076312,398900076327
3989000141684,3989000252933
3989000252933,3989000141684
3989000182793,3989000127158
3989000127158,3989000182793
3989000174169,3989000157490
3989000157490,3989000174169
3989000152300,3989000152301
3989000152301,3989000152300
39890005358,39890005318
39890005318,39890005358
3989000122013,3989000177260
3989000177260,3989000122013
3989000170227,3989000170226
3989000170226,3989000170227
398900062688,3989000190668
3989000190668,398900062688
3989000223648,3989000223662
3989000223662,3989000223648
398900064639,3989000145915
3989000145915,398900064639
3989000199912,3989000199915
3989000199915,3989000199912
3989000203557,3989000203555
3989000203555,3989000203557
3989000118463,398900060593
398900060593,3989000118463
398900025691,398900036203
398900036203,398900025691
3989000152203,3989000152208
3989000152208,3989000152203
3989000205530,3989000159476
3989000159476,3989000205530
3989000236123,3989000208853
3989000208853,3989000236123
3989000119938,3989000119930
3989000119930,3989000119938
3989000205463,3989000205498
3989000205498,3989000205463
3989000190151,398900061981
398900061981,3989000190151
3989000141836,3989000253911
3989000253911,3989000141836
3989000141924,3989000253505
3989000253505,3989000141924
3989000253397,3989000253415
3989000253415,3989000253397
3989000176403,3989000176368
3989000176368,3989000176403
3989000183153,3989000183174
3989000183174,3989000183153
3989000199769,3989000199788
3989000199788,3989000199769
3989000214502,3989000130059
3989000130059,3989000214502
398900060403,3989000142422
3989000142422,398900060403
398900038335,398900016027
398900016027,398900038335
3989000563,398900011739
398900011739,3989000563
3989000252433,3989000252462
3989000252462,3989000252433
3989000160836,3989000160831
3989000160831,3989000160836
3989000143941,398900062182
398900062182,3989000143941
3989000122892,3989000178128
3989000178128,3989000122892
3989000153854,3989000200434
3989000200434,3989000153854
3989000192891,3989000192870
3989000192870,3989000192891
39890005285,39890005330
39890005330,39890005285
398900061421,3989000143240
3989000143240,398900061421
3989000162932,3989000146277
3989000146277,3989000162932
3989000178129,3989000122893
3989000122893,3989000178129
3989000239735,3989000183039
3989000183039,3989000239735
398900034717,398900034718
398900034718,398900034717
3989000565,398900011741
398900011741,3989000565
3989000146076,3989000192775
3989000192775,3989000146076
3989000121665,3989000121623
3989000121623,3989000121665
398900038330,398900027085
398900027085,398900038330
3989000206964,3989000234266
3989000234266,3989000206964
3989000177068,3989000233069
3989000233069,3989000177068
398900024552,398900013449
398900013449,398900024552
3989000236382,3989000208881
3989000208881,3989000236382
3989000190734,3989000144294
3989000144294,3989000190734
398900061326,3989000143205
3989000143205,398900061326
3989000146149,3989000162807
3989000162807,3989000146149
3989000199963,3989000199943
3989000199943,3989000199963
398900038106,398900026865
398900026865,398900038106
3989000239621,3989000212057
3989000212057,3989000239621
3989000192716,3989000162736
3989000162736,3989000192716
3989000220022,3989000227787
3989000227787,3989000220022
398900064606,3989000145890
3989000145890,398900064606
3989000195165,3989000164918
3989000164918,3989000195165
3989000160917,3989000191042
3989000191042,3989000160917
3989000223901,3989000223852
3989000223852,3989000223901
398900037631,398900037635
398900037635,398900037631
3989000146243,3989000162908
3989000162908,3989000146243
3989000234148,3989000177830
3989000177830,3989000234148
3989000189276,398900061066
398900061066,3989000189276
398900060630,3989000188755
3989000188755,398900060630
3989000253130,3989000253031
3989000253031,3989000253130
398900062463,398900062480
398900062480,398900062463
398900013503,398900024589
398900024589,398900013503
3989000220006,3989000227779
3989000227779,3989000220006
3989000146245,3989000162910
3989000162910,3989000146245
3989000569,398900011745
398900011745,3989000569
3989000103263,3989000103259
3989000103259,3989000103263
3989000119956,3989000119979
3989000119979,3989000119956
3989000200455,398900072848
398900072848,3989000200455
3989000232736,3989000141489
3989000141489,3989000232736
3989000588,398900011763
398900011763,3989000588
3989000159430,3989000159402
3989000159402,3989000159430
3989000143840,3989000190203
3989000190203,3989000143840
3989000121630,3989000121672
3989000121672,3989000121630
3989000192653,3989000145958
3989000145958,3989000192653
3989000252945,3989000224225
3989000224225,3989000252945
3989000248510,3989000137021
3989000137021,3989000248510
3989000223624,3989000223653
3989000223653,3989000223624
3989000233868,3989000122347
3989000122347,3989000233868
398900095024,3989000109071
3989000109071,398900095024
3989000179759,3989000124508
3989000124508,3989000179759
3989000116353,3989000116363
3989000116363,3989000116353
398900064764,3989000146046
3989000146046,398900064764
3989000116818,3989000103277
3989000103277,3989000116818
3989000179907,3989000208911
3989000208911,3989000179907
3989000233869,3989000122348
3989000122348,3989000233869
398900024559,398900013457
398900013457,398900024559
3989000192293,3989000162163
3989000162163,3989000192293
3989000191958,3989000191996
3989000191996,3989000191958
3989000161613,3989000145089
3989000145089,3989000161613
3989000189539,3989000119238
3989000119238,3989000189539
3989000122098,3989000206357
3989000206357,3989000122098
398900062701,3989000144228
3989000144228,398900062701
3989000159747,3989000159779
3989000159779,3989000159747
3989000233126,3989000206206
3989000206206,3989000233126
3989000253016,3989000253131
3989000253131,3989000253016
3989000233288,3989000206320
3989000206320,3989000233288
3989000121947,3989000206297
3989000206297,3989000121947
3989000234237,3989000177914
3989000177914,3989000234237
3989000119537,3989000189930
3989000119537,3989000189915
3989000189930,3989000119537
3989000189930,3989000189915
3989000189915,3989000119537
3989000189915,3989000189930
3989000206167,3989000121741
3989000121741,3989000206167
398900036111,398900025536
398900025536,398900036111
3989000206199,3989000121946
3989000121946,3989000206199
3989000208899,3989000236403
3989000236403,3989000208899
3989000177044,3989000177019
3989000177019,3989000177044
3989000156054,398900076124
398900076124,3989000156054
3989000211680,3989000211660
3989000211660,3989000211680
3989000253429,3989000254038
3989000254038,3989000253429
3989000118296,3989000118310
3989000118310,3989000118296
3989000125468,3989000180798
3989000180798,3989000125468
3989000119445,398900061682
398900061682,3989000119445
3989000121679,3989000121637
3989000121637,3989000121679
398900041119,398900041117
398900041117,398900041119
3989000179709,3989000236094
3989000236094,3989000179709
398900038340,398900016030
398900016030,398900038340
398900041137,398900041136
398900041136,398900041137
3989000146050,398900064769
398900064769,3989000146050
3989000206280,3989000177179
3989000177179,3989000206280
3989000232655,3989000141389
3989000141389,3989000232655
3989000160446,3989000160403
3989000160403,3989000160446
3989000118842,3989000189176
3989000189176,3989000118842
3989000176233,3989000176201
3989000176201,3989000176233
3989000214369,3989000129721
3989000129721,3989000214369
3989000157339,3989000174082
3989000174082,3989000157339
3989000206389,3989000122133
3989000122133,3989000206389
3989000177238,3989000121984
3989000121984,3989000177238
398900013465,398900024564
398900024564,398900013465
3989000191044,3989000160924
3989000160924,3989000191044
3989000125457,3989000209837
3989000209837,3989000125457
3989000145988,398900064710
398900064710,3989000145988
3989000236098,3989000179713
3989000179713,3989000236098
3989000206391,3989000122135
3989000122135,3989000206391
3989000117726,3989000104172
3989000104172,3989000117726
398900064600,3989000145885
3989000145885,398900064600
3989000141652,3989000141629
3989000141629,3989000141652
3989000122136,3989000206392
3989000206392,3989000122136
398900013468,398900024566
398900024566,398900013468
3989000188609,3989000188601
3989000188601,3989000188609
3989000179844,3989000179789
3989000179789,3989000179844
3989000136363,3989000247758
3989000247758,3989000136363
3989000176970,3989000176950
3989000176950,3989000176970
398900072877,3989000170961
3989000170961,398900072877
3989000179742,3989000124483
3989000124483,3989000179742
3989000160483,3989000160504
3989000160504,3989000160483
3989000124484,3989000179743
3989000179743,3989000124484
3989000232664,3989000252782
3989000252782,3989000232664
3989000233236,3989000177154
3989000177154,3989000233236
3989000119214,3989000189512
3989000189512,3989000119214
398900060960,3989000142830
3989000142830,398900060960
3989000162812,3989000146157
3989000146157,3989000162812
3989000162682,3989000192629
3989000192629,3989000162682
3989000177878,3989000122579
3989000122579,3989000177878
3989000203484,398900078061
398900078061,3989000203484
3989000177795,3989000234130
3989000234130,3989000177795
398900072828,398900072794
398900072794,398900072828
3989000145899,398900064619
398900064619,3989000145899
398900043878,398900043877
398900043878,398900043875
398900043877,398900043878
398900043877,398900043875
398900043875,398900043878
398900043875,398900043877
3989000143808,3989000190200
3989000190200,3989000143808
3989000162943,3989000146292
3989000146292,3989000162943
398900016035,398900038347
398900038347,398900016035
398900060617,3989000142692
3989000142692,398900060617
398900064826,3989000192820
3989000192820,398900064826
3989000206956,3989000177902
3989000177902,3989000206956
3989000236104,3989000179719
3989000179719,3989000236104
398900045139,398900045147
398900045147,398900045139
3989000121131,3989000121096
3989000121096,3989000121131
3989000195172,3989000164925
3989000164925,3989000195172
398900064715,3989000145995
3989000145995,398900064715
3989000122585,3989000177883
3989000177883,3989000122585
3989000236153,3989000124459
3989000124459,3989000236153
3989000121724,3989000121714
3989000121714,3989000121724
3989000206091,3989000206059
3989000206059,3989000206091
3989000122290,3989000233804
3989000122316,3989000233833
3989000233804,3989000122290
3989000233833,3989000122316
3989000162662,3989000192611
3989000192611,3989000162662
3989000224245,3989000252966
3989000252966,3989000224245
398900063351,3989000144790
3989000144790,398900063351
3989000234174,3989000177862
3989000177862,3989000234174
3989000142704,398900060663
398900060663,3989000142704
3989000209846,3989000237208
3989000237208,3989000209846
3989000206060,3989000206092
3989000206092,3989000206060
3989000236493,3989000236434
3989000236434,3989000236493
398900076131,3989000156062
3989000156062,398900076131
3989000177304,3989000233371
3989000233371,3989000177304
3989000121595,3989000121548
3989000121548,3989000121595
3989000214683,3989000185555
3989000185555,3989000214683
3989000200479,3989000200480
3989000200480,3989000200479
3989000141397,3989000224020
3989000224020,3989000141397
3989000163249,3989000146823
3989000146823,3989000163249
3989000122079,3989000177275
3989000177275,3989000122079
3989000206920,3989000122548
3989000122548,3989000206920
3989000140566,3989000140588
3989000140588,3989000140566
3989000224090,3989000141409
3989000141409,3989000224090
398900011755,3989000580
3989000580,398900011755
3989000146216,3989000162894
3989000162894,3989000146216
3989000211950,3989000211968
3989000211968,3989000211950
3989000199584,3989000199586
3989000199586,3989000199584
3989000192788,3989000146097
3989000146097,3989000192788
398900029351,398900029350
398900029350,398900029351
3989000192694,3989000162719
3989000162719,3989000192694
398900072843,398900072811
398900072811,398900072843
3989000176111,3989000176163
3989000176163,3989000176111
3989000141335,3989000252746
3989000252746,3989000141335
3989000121143,3989000121108
3989000121108,3989000121143
398900020606,398900031451
398900031451,398900020606
398900020599,398900031442
398900031442,398900020599
398900012156,398900012160
398900012160,398900012156
3989000199762,3989000199765
3989000199765,3989000199762
3989000233133,3989000206213
3989000206213,3989000233133
3989000224453,3989000254017
3989000254017,3989000224453
3989000206186,3989000121758
3989000121758,3989000206186
39890003515,39890003485
39890003485,39890003515
3989000233174,3989000177114
3989000177114,3989000233174
3989000118014,3989000142308
3989000142308,3989000118014
3989000227752,3989000219966
3989000219966,3989000227752
3989000170969,398900072885
398900072885,3989000170969
398900064738,3989000162686
3989000145999,398900064720
398900064720,3989000145999
3989000162686,398900064738
398900020696,398900020712
398900020712,398900020696
3989000236111,3989000179726
3989000179726,3989000236111
398900060135,3989000142226
3989000142226,398900060135
3989000224300,3989000224312
3989000224312,3989000224300
3989000160461,3989000160416
3989000160416,3989000160461
3989000236137,3989000208866
3989000208866,3989000236137
3989000227772,3989000219994
3989000219994,3989000227772
3989000140447,3989000140424
3989000140424,3989000140447
3989000145909,398900064630
398900064630,3989000145909
3989000189390,3989000143070
3989000143070,3989000189390
398900093193,398900058994
398900058994,398900093193
3989000121654,3989000121701
3989000121701,3989000121654
3989000140415,3989000232318
3989000232318,3989000140415
3989000162782,3989000192765
3989000192765,3989000162782
3989000192833,398900064837
398900064837,3989000192833
398900058966,398900093184
398900093184,398900058966
3989000179806,3989000179854
3989000179854,3989000179806
3989000190774,3989000144326
3989000144326,3989000190774
398900016040,398900038355
398900038355,398900016040
3989000122406,3989000206686
3989000206686,3989000122406
3989000122046,3989000233317
3989000233317,3989000122046
3989000146131,398900064804
398900064804,3989000146131
398900035744,39890002793
39890002793,398900035744
3989000136272,3989000136279
3989000136279,3989000136272
3989000159587,3989000159622
3989000159622,3989000159587
3989000199478,3989000199479
3989000199479,3989000199478
398900061435,3989000143298
3989000143298,398900061435
3989000188831,3989000142762
3989000142762,3989000188831
3989000146235,3989000192865
3989000192865,3989000146235
3989000220025,3989000227788
3989000227788,3989000220025
398900064724,3989000146005
3989000146005,398900064724
3989000180016,3989000236616
3989000236616,3989000180016
3989000223972,3989000224005
3989000224005,3989000223972
3989000160418,3989000160463
3989000160463,3989000160418
3989000206374,3989000122116
3989000122116,3989000206374
39890005312,39890005353
39890005353,39890005312
3989000233161,3989000206241
3989000206241,3989000233161
