base_element,type,problem_element,id,code
ballot,error,referendum_id,110006,orphaned_object
ballot,error,referendum_id,110007,orphaned_object
ballot,error,referendum_id,110008,orphaned_object
ballot,error,referendum_id,110009,orphaned_object
ballot,error,referendum_id,110010,orphaned_object
ballot,error,referendum_id,110011,orphaned_object
ballot,error,referendum_id,110012,orphaned_object
ballot,error,referendum_id,110013,orphaned_object
ballot,error,referendum_id,110014,orphaned_object
ballot,error,referendum_id,110015,orphaned_object
ballot,error,referendum_id,110016,orphaned_object
ballot,error,referendum_id,110017,orphaned_object
ballot,error,referendum_id,110018,orphaned_object
ballot,error,referendum_id,110019,orphaned_object
ballot,error,referendum_id,110020,orphaned_object
ballot,error,referendum_id,110021,orphaned_object
ballot,error,referendum_id,110022,orphaned_object
ballot,error,referendum_id,110023,orphaned_object
