"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
"DAVE SYPOLT","R","","","","","","WV","PRESTON CO","","","","KINGWOOD","","5036","54610005036"
"DAVID A. EVANS","R","","","","","","WV","MARSHALL CO","","","","CAMERON","","5293","54610005293"
"DAVID A. WALKER","D","","","","","","WV","CLAY CO","","","","PROCIOUS","","5152","54610005152"
"DAVID B. MCKINLEY","R","","","","","","WV","OHIO CO","","","","WHEELING","","5005","54610005005"
"DAVID C. NOHE","R","","","","","","WV","WOOD CO","","","","VIENNA","","5014","54610005014"
"DAVID MCLAUGHLIN","D","","","","","","WV","POCAHONTAS CO","","","","DUNMORE","","5193","54610005193"
"DAVID ROBERT SINGLETON","D","","","","","","WV","BRAXTON CO","","","","GASSAWAY","","5051","54610005051"
"DAVID WEBB","D","","","","","","WV","MINERAL CO","","","","BURLINGTON","","5110","54610005110"
"DAVY JONES","L","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","4978","54610004978"
"DENISE ESKEW SCALPH","D","","","","","","WV","FAYETTE CO","","","","FAYETTEVILLE","","5074","54610005074"
"DENISE L. CAMPBELL","D","","","","","","WV","RANDOLPH CO","","","","ELKINS","","5188","54610005188"
"DENZIL "BUDDY" MALONE","D","","","","","","WV","WOOD CO","","","","WILLIAMSTOWN","","5299","54610005299"
"DIANA BARTLEY","R","","","","","","WV","HARRISON CO","","","","LUMBERPORT","","5309","54610005309"
"DIANN HANNAH","IND","","","","","","WV","MINGO CO","","","","VARNEY","","5319","54610005319"
"DIANNA STRICKLAND","M","","","","","","WV","KANAWHA CO","","","","SISSONVILLE","","5312","54610005312"
"DOLPH SANTORINE","R","","","","","","WV","OHIO CO","","","","WHEELING","","5290","54610005290"
"DON "SMITTY" SMITH","R","","","","","","WV","PRESTON CO","","","","TERRA ALTA","","5199","54610005199"
"DON PERDUE","D","","","","","","WV","WAYNE CO","","","","PRICHARD","","5088","54610005088"
"DON STANSBERRY","D","","","","","","WV","WOOD CO","","","","VIENNA","","4981","54610004981"
"DONALD H. COOKMAN","D","","","","","","WV","HAMPSHIRE CO","","","","ROMNEY","","5037","54610005037"
"DOUG REYNOLDS","D","","","","","","WV","WAYNE CO","","","","HUNTINGTON","","5080","54610005080"
"DOUG SKAFF JR.","D","","","","","","WV","KANAWHA CO","","","","SO. CHARLESTON","","5041","54610005041"
"DOUG SWICK","R","","","","","","WV","GRANT CO","","","","PETERSBURG","","4993","54610004993"
"DUANE BORCHERS, SR.","R","","","","","","WV","NICHOLAS CO","","","","CRAIGSVILLE","","5192","54610005192"
"DUANE ZOBRIST","R","","","","","","WV","GREENBRIER CO","","","","LEWISBURG","","5028","54610005028"
"ED  HAWKINS","R","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5119","54610005119"
"ED GAUNCH","R","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5023","54610005023"
"ED KERNS","R","","","","","","WV","TAYLOR CO","","","","FLEMINGTON","","5246","54610005246"
"ED OLESH","L","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","4987","54610004987"
"ED RABEL","IND","","","","","","WV","LINCOLN CO","","","","ALUM CREEK","","4832","54610004832"
"EDDIE HENDRICKS","D","","","","","","WV","BOONE CO","","","","UNEEDA","","5050","54610005050"
"ERIC BELL","R","","","","","","WV","JEFFERSON CO","","","","CHARLES TOWN","","5341","54610005341"
"ERIC L. HOUSEHOLDER","R","","","","","","WV","BERKELEY CO","","","","MARTINSBURG","","5262","54610005262"
"ERIC NELSON","R","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5161","54610005161"
"ERIK P.  WELLS","D","","","","","","WV","KANAWHA CO","","","","CHARLESTON","","5024","54610005024"
"ERIKKA STORCH","R","","","","","","WV","OHIO CO","","","","WHEELING","","5292","54610005292"
"EVAN JENKINS","R","","","","","","WV","CABELL CO","","","","HUNTINGTON","","5008","54610005008"
"FLOYD M. HODGE SR.","R","","","","","","WV","RITCHIE CO","","","","HARRISVILLE","","5224","54610005224"
"FRANK DEEM","R","","","","","","WV","WOOD CO","","","","VIENNA","","5303","54610005303"
"FRED BRUNNER","R","","","","","","WV","MARSHALL CO","","","","MOUNDSVILLE","","5103","54610005103"
"GARRETT SAMPLES","D","","","","","","WV","CLAY CO","","","","PROCIOUS","","5063","54610005063"
"GARY "PEANUT" COLLIS","D","","","","","","WV","BERKELEY CO","","","","BUNKER HILL","","5253","54610005253"
"GARY D. WITHEE","R","","","","","","WV","NICHOLAS CO","","","","SUMMERSVILLE","","4996","54610004996"
