"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"# 56 GREENBOTTOM COMM CENTER","7830 OHIO RIVER ROAD","","","LESAGE","WV","25537","","","","54888049"
"# 57 PLEASANT VIEW FELLOWSHIP HALL"," BARKER RIDGE ROAD","","","","WV","","","","","54888050"
"# 58 CABELL MIDLAND HS (MAIN GYM)","2300 RT 60","","","ONA","WV","25545","","","","54888051"
"# 62 CULLODEN ELEM SCHOOL","2100  US HIGHWAY 60","","","CULLODEN","WV","25510","","","","54888052"
"# 63 MILTON BAPTIST CHURCH","2100 RT 60","","","CULLODEN","WV","","","","","54888053"
"# 64  MILTON BAPTIST CHURCH ","1123 CHURCH ST","","","MILTON","","25541","","","","54888054"
"# 65 MILTON MIDDLE SCHOOL","1  PANTHER TRL","","","MILTON","WV","25541","","","","54888055"
"# 66 CULLODEN ELEM SCHOOL","2100 US HIGHWAY 60","","","CULLODEN","WV","25510","","","","54888056"
"16TH ST FIRE STATION","500 16TH ST","","","PARKERSBURG","WV","26101","","","","54888057"
"1ST CHURCH OF THE NAZARENE - LIFE CENTER","607 JOHNSTOWN ROAD","","","BECKLEY","WV","25801","","","","54888058"
"AGRICULTURE BUILDING","60 MOOREFIELD INDUSTRIAL PARK RD","","","MOOREFIELD","WV","26836","","","","54888059"
"ALBRIGHT COMMUNITY CTR","2960 ST JOE RD","","","ALBRIGHT","WV","26519","","","","54888060"
"ALDERSON /ALDERSON COM. BUILDING"," VIRGINIA ST","","","ALDERSON","WV","","","","","54888061"
"ALLISON ELEM SCHOOL","600 RAILROAD ST-CHESTER","","","CHESTER","WV","26034","","","","54888062"
"ALUM BRIDGE SCHOOL","10949 US HIGHWAY 33 WEST","","","ALUM BRIDGE","WV","26321","","","","54888063"
"ALUM CREEK ELEMENTARY"," RT 7 BOX 279 A","","","SO CHARLESTON","WV","25309","","","","54888064"
"ALVON/ANTHONYS CREEK FIRE HOUSE"," RT 92 ALVON","","","","WV","","","","","54888065"
"ALVY COMMUNITY BUILDING"," Indian Creek Road","","","Alma","WV","26320","","","","54888066"
"AMERICAN LEGION BLD"," MAIN STREET","","","KEYSER","WV","26726","","","","54888067"
"AMMA SENIOR CITIZENS BLDG","3401 AMMA RD","","","AMMA","WV","25005","","","","54888068"
"ANAWALT FIRE DEPARTMENT","","","","","","","","","","54888069"
"ANDREW HGTS. ELEMENTARY"," P O BOX 340","","","TORNADO","WV","25202","","","","54888070"
"ANDREW HGTS. ELEMENTARY"," P O BOX 340","","","TORNADO","WV","25202","","","","54888071"
"ANDREW JACKSON MIDDLE SCHOOL","5445 BIG TYLER RD","","","CROSS LANES","WV","25313","","","","54888072"
"ANDREW JACKSON MIDDLE SCHOOL","5445 BIG TYLER RD","","","CROSS LANES","WV","25313","","","","54888073"
"ANNA JARVIS SCHOOL","650 N. Pike St.","","","Grafton","WV","26354","","","","54888074"
"ANNE BAILEY ELEMENTARY","405 WINFIELD RD","","","ST ALBANS","WV","25177","","","","54888075"
"ANNE BAILEY ELEMENTARY","405 WINFIELD RD","","","ST ALBANS","WV","25177","","","","54888076"
"ANSTED ELEMENTARY SCHOOL","27 SCHOOL ST","","","ANSTED","WV","25812","","","","54888077"
"ANSTED MIDDLE SCHOOL","47 CHURCH ST","","","ANSTED","WV","25812","","","","54888078"
"ANTIOCH COMMUNITY BUILDING"," KNOBLEY RD-ANTIOCH","","","NEW CREEK","WV","","","","","54888079"
"ARDEN CLEMTOWN AREA COMMUNITY CENTER","","","","","","","","","","54888080"
"ARKANSAW COMM CENTER","262 ARKANSAW RD","","","BAKER","WV","26801","","","","54888081"
"ARLINGTON COMMUNITY BLDG","15801 RT 20 South Rd","","","Rock Cave","WV","26234","","","","54888082"
"ARMSTRONG CREEK VOLUNTEER FIRE DEPT.","3319 ARMSTRONG CRK RD","","","POWELLTON","WV","25161","","","","54888083"
"ARNOLDSBURG SCHOOL","90 SPRING RUN RD","","","ARNOLDSBURG","WV","25234","","","","54888084"
"ARTHURDALE HERITAGE BLDG","18 Q RD","","","ARTHURDALE","WV","26520","","","","54888085"
"ARVILLA","4516 Arvilla Rd.","","","Friendly","WV","26146","","","","54888086"
"ASBURY COMMUNITY BUILDING"," RT 12","","","","WV","","","","","54888087"
"ASHFORD ELEMENTARY","1649 Ashford Nellis Rd","","","Ashford","WV","25009","","","","54888088"
"ASHTON ELEMENTARY SCHOOL","1226 BURDETTE STREET","","","leon ","WV","25123","","","","54888089"
"ATHENS MASONIC LODGE BLDG","       STATE STREET","","","ATHENS","WV","24712","","","","54888090"
"ATHENS MIDDLE SCHOOL GYM"," STATE ST","","","ATHENS","WV","24712","","","","54888091"
"AUBURN-BAPTIST CHURCH"," MAIN STREET","","","AUBURN","WV","26325","","","","54888092"
"AUGUSTA ELEMENTARY SCHOOL","","","","","","","","","","54888093"
"AUGUSTA FIRE COMPANY","","","","","","","","","","54888094"
"BACK CREEK VALLEY ELEMENTARY SCHOOL","1962 BACK CREEK VALLEY ROAD","","","HEDGESVILLE","WV","25427","","","","54888095"
"BAILEY METHODIST CHURCH"," PO Box 197","","","Rosemont","WV","26424","","","","54888096"
"BAKERTON METHODIST CHURCH","855 CARTER AVE","","","BAKERTON","WV","25410","","","","54888097"
"BANCROFT FIRE STATION","507 WASHINGTON STREET","","","BANCROFT","WV","25011","","","","54888098"
