"precinct_id","polling_location_id"
"54320001","54888603"
"543200010","54889151"
"5432000100","54888209"
"54320001000","54888301"
"54320001001","54889072"
"54320001002","54888499"
"54320001003","54888450"
"54320001004","54889019"
"54320001005","54889020"
"54320001007","54888577"
"5432000101","54889183"
"54320001012","54888334"
"54320001013","54888463"
"54320001014","54888447"
"54320001015","54888022"
"54320001016","54888688"
"54320001017","54888514"
"54320001018","54888469"
"54320001019","54888664"
"5432000102","54888129"
"54320001020","54888711"
"54320001023","54888997"
"54320001027","54889144"
"54320001028","54889149"
"5432000103","54888413"
"54320001030","54888704"
"54320001031","54888700"
"54320001032","54889260"
"54320001033","54889261"
"54320001034","54888635"
"54320001035","54888402"
"54320001036","54888243"
"54320001037","54888023"
"54320001038","54889148"
"5432000104","54888371"
"54320001040","54888398"
"54320001041","54888841"
"54320001043","54889042"
"54320001045","54888740"
"54320001046","54888818"
"54320001047","54888689"
"54320001048","54888567"
"54320001049","54889111"
"5432000105","54889018"
"54320001051","54888379"
"54320001052","54888906"
"54320001053","54888339"
"54320001054","54888763"
"54320001055","54888314"
"54320001056","54889021"
"54320001057","54889022"
"54320001061","54888619"
"54320001062","54888644"
"54320001065","54888451"
"54320001066","54888452"
"54320001068","54888864"
"54320001069","54888393"
"5432000107","54889033"
"54320001070","54888429"
"54320001071","54888024"
"54320001072","54889057"
"54320001073","54888623"
"54320001074","54888252"
"54320001076","54889089"
"54320001077","54888417"
"54320001078","54888544"
"5432000108","54888373"
"54320001081","54889228"
"54320001082","54889239"
"54320001083","54888819"
"54320001085","54888816"
"54320001088","54888380"
"54320001089","54888807"
"5432000109","54888890"
"54320001090","54888366"
"54320001091","54888367"
"54320001092","54888785"
"54320001093","54888174"
"54320001094","54888980"
"54320001095","54889063"
"54320001096","54888882"
"54320001097","54888963"
"54320001098","54889060"
"543200011","54888438"
"5432000110","54888612"
"54320001100","54888646"
"54320001101","54888348"
"54320001102","54889125"
"54320001104","54888025"
"54320001105","54888687"
"54320001106","54888404"
