"ballot_id","candidate_id","sort_order"
"54510001","54520001",""
"545100010","545200010",""
"5451000100","5452000100",""
"5451000101","5452000101",""
"5451000102","5452000102",""
"5451000103","5452000103",""
"5451000104","5452000104",""
"5451000105","5452000105",""
"5451000106","5452000106",""
"5451000107","5452000107",""
"5451000108","5452000108",""
"5451000109","5452000109",""
"545100011","545200011",""
"5451000110","5452000110",""
"5451000111","5452000111",""
"5451000112","5452000112",""
"5451000113","5452000113",""
"5451000114","5452000114",""
"5451000115","5452000115",""
"5451000116","5452000116",""
"5451000117","5452000117",""
"5451000118","5452000118",""
"5451000119","5452000119",""
"545100012","545200012",""
"5451000120","5452000120",""
"5451000121","5452000121",""
"5451000122","5452000122",""
"5451000123","5452000123",""
"5451000124","5452000124",""
"5451000125","5452000125",""
"5451000126","5452000126",""
"5451000127","5452000127",""
"5451000128","5452000128",""
"5451000129","5452000129",""
"545100013","545200013",""
"5451000130","5452000130",""
"5451000131","5452000131",""
"5451000132","5452000132",""
"5451000133","5452000133",""
"5451000134","5452000134",""
"5451000135","5452000135",""
"5451000136","5452000136",""
"5451000137","5452000137",""
"5451000138","5452000138",""
"5451000139","5452000139",""
"545100014","545200014",""
"5451000140","5452000140",""
"5451000141","5452000141",""
"5451000142","5452000142",""
"5451000143","5452000143",""
"5451000144","5452000144",""
"5451000145","5452000145",""
"5451000146","5452000146",""
"5451000147","5452000147",""
"5451000148","5452000148",""
"5451000149","5452000149",""
"545100015","545200015",""
"5451000150","5452000150",""
"545100016","545200016",""
"545100017","545200017",""
"545100018","545200018",""
"545100019","545200019",""
"54510002","54520002",""
"545100020","545200020",""
"545100021","545200021",""
"545100022","545200022",""
"545100023","545200023",""
"545100024","545200024",""
"545100025","545200025",""
"545100026","545200026",""
"545100027","545200027",""
"545100028","545200028",""
"545100029","545200029",""
"54510003","54520003",""
"545100030","545200030",""
"545100031","545200031",""
"545100032","545200032",""
"545100033","545200033",""
"545100034","545200034",""
"545100035","545200035",""
"545100036","545200036",""
"545100037","545200037",""
"545100038","545200038",""
"545100039","545200039",""
"54510004","54520004",""
"545100040","545200040",""
"545100041","545200041",""
"545100042","545200042",""
"545100043","545200043",""
"545100044","545200044",""
"545100045","545200045",""
"545100046","545200046",""
"545100047","545200047",""
"545100048","545200048",""
"545100049","545200049",""
"54510005","54520005",""
"545100050","545200050",""
"545100051","545200051",""
"545100052","545200052",""
"545100053","545200053",""
"545100054","545200054",""
"545100055","545200055",""
"545100056","545200056",""
"545100057","545200057",""
"545100058","545200058",""
"545100059","545200059",""
"54510006","54520006",""
"545100060","545200060",""
"545100061","545200061",""
"545100062","545200062",""
"545100063","545200063",""
"545100064","545200064",""
"545100065","545200065",""
"545100066","545200066",""
"545100067","545200067",""
"545100068","545200068",""
"545100069","545200069",""
"54510007","54520007",""
"545100070","545200070",""
"545100071","545200071",""
"545100072","545200072",""
"545100073","545200073",""
"545100074","545200074",""
"545100075","545200075",""
"545100076","545200076",""
"545100077","545200077",""
"545100078","545200078",""
"545100079","545200079",""
"54510008","54520008",""
"545100080","545200080",""
"545100081","545200081",""
"545100082","545200082",""
"545100083","545200083",""
"545100084","545200084",""
"545100085","545200085",""
"545100086","545200086",""
"545100087","545200087",""
"545100088","545200088",""
"545100089","545200089",""
"54510009","54520009",""
"545100090","545200090",""
"545100091","545200091",""
"545100092","545200092",""
"545100093","545200093",""
"545100094","545200094",""
"545100095","545200095",""
"545100096","545200096",""
"545100097","545200097",""
"545100098","545200098",""
"545100099","545200099",""
