"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"517 - TOWN HALL","0517","70045","","","","91323"
"118 - MALLORY","0118","70110","","","","91324"
"102 - SWIFT RUN","0102","70041","","","","91325"
"502 - HOLLAND","0502","70107","","","","91326"
"502 - BROKENBURG","0502","70084","","","","91327"
"501 - GOSHEN","0501","70077","","","","91328"
"603 - PRECINCT F-3","0603","70060","","","","91329"
"305 - RICEVILLE","0305","70068","","","","91330"
"201 - LOUISA #1","0201","70054","","","","91331"
"402 - MONTEBELLO","0402","70061","","","","91332"
"027 - TWENTY-SEVEN","0027","70123","","","","91333"
"302 - SNOWFLAKE","0302","70080","","","","91334"
"106 - KERSEY CREEK","0106","70044","","","","91335"
"708 - MARSHALL","0708","70028","","","","91336"
"405 - PEBBLE CREEK","0405","70044","","","","91337"
"087 - HILLCREST","0087","70129","","","","91338"
"501 - SMITH CROSS ROADS","0501","70069","","","","91339"
"101 - CATAWBA","0101","70076","","","","91340"
"501 - ATKINS","0501","70082","","","","91341"
"305 - HUDDLESTON ELEM SCHOOL","0305","70009","","","","91342"
"806 - SYDENSTRICKER","0806","70028","","","","91343"
"053 - SHANNON","0053","70129","","","","91344"
"002 - SECOND WARD","0002","70088","","","","91345"
"508 - MASONVILLE","0508","70028","","","","91346"
"840 - WEST SPRINGFIELD","0840","70028","","","","91347"
"504 - LAKE COHOON","0504","70107","","","","91348"
"101 - PRECINCT 1-1","0101","70063","","","","91349"
"310 - ROSEMONT","0310","70119","","","","91350"
"602 - PRECINCT F-2","0602","70060","","","","91351"
"401 - PROVIDENCE FORGE","0401","70062","","","","91352"
"024 - WOODLAWN","0024","70006","","","","91353"
"315 - BAILEY BRIDGE","0315","70020","","","","91354"
"504 - DONAHOE","0504","70045","","","","91355"
"501 - LAKE RIDGE","0501","70072","","","","91356"
"501 - PRECINCT 5","0501","70024","","","","91357"
"801 - FINCHLEY","0801","70035","","","","91358"
"304 - COLEMAN PLACE SCHOOL","0304","70119","","","","91359"
"209 - LANGLEY","0209","70110","","","","91360"
"101 - PRECINCT 1-1","0101","70036","","","","91361"
"402 - FERRUM","0402","70032","","","","91362"
"841 - POPES HEAD","0841","70028","","","","91363"
"501 - JACKSON MEMORIAL","0501","70096","","","","91364"
"201 - LITTLE RIVER","0201","70030","","","","91365"
"301 - SEAFORD","0301","70097","","","","91366"
"104 - RIVES","0104","70071","","","","91367"
"623 - ALBAN","0623","70028","","","","91368"
"401 - BUFFALO GAP","0401","70007","","","","91369"
"617 - OAK GROVE","0617","70057","","","","91370"
"601 - PRECINCT 6-1","0601","70106","","","","91371"
"031 - THIRTY-ONE","0031","70123","","","","91372"
"847 - GREENBRIAR WEST","0847","70028","","","","91373"
"307 - EAST BLAIRS","0307","70068","","","","91374"
"403 - COLD HARBOR","0403","70044","","","","91375"
"103 - COOLWELL","0103","70004","","","","91376"
"103 - FIRST WARD THIRD PRECINCT","0103","70114","","","","91377"
"501 - THE PLAINS","0501","70029","","","","91378"
"305 - COOL SPRING","0305","70044","","","","91379"
"106 - POCAHONTAS","0106","70091","","","","91380"
"101 - BROADWAY","0101","70078","","","","91381"
"833 - WHITE OAKS","0833","70028","","","","91382"
"201 - ADAMS","0201","70045","","","","91383"
"074 - BUCKNER","0074","70129","","","","91384"
"302 - WOODFORD","0302","70016","","","","91385"
"001 - MONTEREY","0001","70047","","","","91386"
"501 - COYNER SPRINGS","0501","70011","","","","91387"
"010 - HIDDEN VALLEY","0010","70125","","","","91388"
"202 - GREENDALE","0202","70093","","","","91389"
"201 - BEAVERDAM","0201","70044","","","","91390"
"501 - FREDERICKS HALL","0501","70054","","","","91391"
"017 - MONTEREY","0017","70128","","","","91392"
"301 - CLAY","0301","70044","","","","91393"
"302 - WAKEFIELD","0302","70087","","","","91394"
"703 - VIRGILINA","0703","70043","","","","91395"
"101 - PARTLOW","0101","70084","","","","91396"
"022 - ABINGDON","0022","70006","","","","91397"
"701 - DISTRICT 2","0701","70002","","","","91398"
"004 - BALLSTON","0004","70006","","","","91399"
"402 - MONTEZUMA","0402","70078","","","","91400"
"201 - WHITE HALL","0201","70014","","","","91401"
"035 - MADISON","0035","70006","","","","91402"
"017 - OVERLEE KNOLLS","0017","70006","","","","91403"
"204 - NAIN","0204","70033","","","","91404"
"202 - ELK CREEK","0202","70040","","","","91405"
"091 - LEXINGTON","0091","70129","","","","91406"
"005 - NORTH SALEM NO 1","0005","70125","","","","91407"
"064 - ROSEMONT FOREST","0064","70129","","","","91408"
"001 - CHESAPEAKE","0001","70034","","","","91409"
"203 - INDEPENDENCE","0203","70040","","","","91410"
"214 - HOPKINS","0214","70020","","","","91411"
"702 - GLADYS","0702","70015","","","","91412"
"202 - LINDEN","0202","70092","","","","91413"
"202 - HIGHLAND BELLE","0202","70077","","","","91414"
"103 - FLAT ROCK","0103","70069","","","","91415"
"007 - WARD SEVEN","0007","70102","","","","91416"
"401 - PRECINCT D-1","0401","70060","","","","91417"
"203 - EAST POUND","0203","70095","","","","91418"
"204 - SECOND WARD FOURTH PRECINCT","0204","70114","","","","91419"
"505 - LITTLE CREEK","0505","70119","","","","91420"
"111 - BRISTOW RUN","0111","70072","","","","91421"
"601 - BURSON PLACE","0601","70093","","","","91422"
"313 - REED","0313","70118","","","","91423"
"101 - HARTWOOD","0101","70085","","","","91424"
"067 - EASTERN SHORE","0067","70129","","","","91425"
"933 - COMPTON","0933","70028","","","","91426"
"101 - WRIGHT SHOP","0101","70004","","","","91427"
"515 - DAVIS","0515","70020","","","","91428"
"503 - TOMS BROOK","0503","70081","","","","91429"
"401 - FOUR WEST","0401","70065","","","","91430"
"302 - NATURAL BRIDGE","0302","70077","","","","91431"
"102 - MASON VALLEY","0102","70076","","","","91432"
"103 - SOUTH CLARKSVILLE","0103","70035","","","","91433"
"301 - PLANK ROAD","0301","70084","","","","91434"
"002 - WEEMS","0002","70115","","","","91435"
"404 - NORTH RIVER","0404","70078","","","","91436"
"303 - PRECINCT C-3","0303","70060","","","","91437"
"618 - MILL RUN","0618","70057","","","","91438"
"927 - LEES CORNER #1","0927","70028","","","","91439"
"203 - HORSEPASTURE #2","0203","70046","","","","91440"
"402 - KEELING","0402","70068","","","","91441"
"101 - EAST ABINGDON","0101","70093","","","","91442"
"615 - WOODLEY","0615","70028","","","","91443"
"202 - BEDFORD SPRINGS","0202","70015","","","","91444"
"401 - GLADE SPRING","0401","70093","","","","91445"
"501 - RIVANNA","0501","70031","","","","91446"
"602 - DUFFIELD-PATTONSVILLE","0602","70080","","","","91447"
"014 - WILLIAMSON ROAD 5","0014","70128","","","","91448"
"701 - DISTRICT 7","0701","70103","","","","91449"
"301 - PRECINCT 1 - DISTRICT THREE","0301","70108","","","","91450"
"201 - PRECINCT 2-1","0201","70019","","","","91451"
"048 - COURTLANDS","0048","70006","","","","91452"
"004 - FOUR","0004","70104","","","","91453"
"001 - PRECINCT #1","0001","70117","","","","91454"
"502 - PINEVILLE","0502","70069","","","","91455"
"005 - FIVE","0005","70123","","","","91456"
"101 - DENBIGH","0101","70118","","","","91457"
"102 - COPPER CREEK","0102","70079","","","","91458"
