"name","precinct_id","ballot_style_image_url","id"
"0000","90690","","100000"
"1851","92132","","100001"
"0002","90673","","100002"
"0000","90494","","100003"
"0000","91544","","100004"
"0000","90888","","100005"
"0000","90332","","100006"
"0001","90713","","100007"
"0000","91661","","100008"
"0000","91700","","100009"
"0000","91873","","100010"
"2290B","92144","","100011"
"0000","91702","","100012"
"0001","91690","","100013"
"1160D","91833","","100014"
"0001","90289","","100015"
"0000","91740","","100016"
"0002","91440","","100017"
"1850","90520","","100018"
"0000","91200","","100019"
"0000","91577","","100020"
"0001","92043","","100021"
"0001","91827","","100022"
"0000","90842","","100023"
"0000","90293","","100024"
"0000","91472","","100025"
"0000","91977","","100026"
"0000","91011","","100027"
"0000","90906","","100028"
"0000","91075","","100029"
"0000","90121","","100030"
"0000","91168","","100031"
"1830","90616","","100032"
"0000","92390","","100033"
"0000","90647","","100034"
"0000","90758","","100035"
"0000","91416","","100036"
"0000","91570","","100037"
"0000","90727","","100038"
"0000","90226","","100039"
"0000","91309","","100040"
"0000","90118","","100041"
"0000","90209","","100042"
"0002","92001","","100043"
"0000","90398","","100044"
"0001","90953","","100045"
"0000","91850","","100046"
"0000","91734","","100047"
"0000","90673","","100048"
"0000","92163","","100049"
"0000","90286","","100050"
"0001","91360","","100051"
"0000","90115","","100052"
"0000","90650","","100053"
"0000","92054","","100054"
"0000","90736","","100055"
"0000","91015","","100056"
"0000","91793","","100057"
"0810","90875","","100058"
"0000","91304","","100059"
"0000","92224","","100060"
"0000","90611","","100061"
"0000","90697","","100062"
"0000","90408","","100063"
"0000","91656","","100064"
"0000","91866","","100065"
"0001","91763","","100066"
"0010","91804","","100067"
"0000","91590","","100068"
"0000","90923","","100069"
"0000","90655","","100070"
"0000","90640","","100071"
"0001","90463","","100072"
"0000","90165","","100073"
"2570D","90221","","100074"
"0000","91488","","100075"
"0000","91474","","100076"
"0000","91543","","100077"
"0000","90138","","100078"
"0000","90984","","100079"
"0000","90105","","100080"
"0001","91959","","100081"
"0000","91303","","100082"
"0000","90455","","100083"
"0000","90492","","100084"
"0000","90079","","100085"
"1390","90369","","100086"
"0000","92360","","100087"
"0000","91183","","100088"
"0000","90354","","100089"
"0000","91328","","100090"
"0000","91684","","100091"
"0000","91971","","100092"
"0000","91809","","100093"
"0000","90696","","100094"
"0000","92181","","100095"
"0004","91250","","100096"
"0000","90407","","100097"
"0000","91908","","100098"
"0000","90298","","100099"
"0000","90698","","100100"
"0003","91743","","100101"
"0000","90289","","100102"
