"name","type","number","id"
"SPOTSYLVANIA COUNTY","Referendum","177","60158"
"LOUDOUN COUNTY","Referendum","107","60159"
"NORFOLK CITY","Referendum","710","60160"
"FAIRFAX COUNTY","Referendum","059","60161"
"LOUDOUN COUNTY","Referendum","107","60162"
"ACCOMACK COUNTY","Referendum","001","60163"
"PATRICK COUNTY","Referendum","141","60164"
"SPOTSYLVANIA COUNTY","Referendum","177","60165"
"ARLINGTON COUNTY","Referendum","013","60166"
"FALLS CHURCH CITY","Referendum","610","60167"
"NARROWS","Referendum","1690","60168"
"DAMASCUS","Referendum","0700","60169"
