"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"Ashland Fire Station #1","501 Archie Cannon Dr","","","Ashland","VA","23005","","6:00 AM - 7:00 PM","","80045"
"F-C MIDDLE SCHOOL - ENTRANCE A","645 Miles Rd","","","Collinsville","VA","240782453","","6:00 AM - 7:00 PM","","80046"
"YORKSHIRE ELEMENTARY SCHOOL","7610 Old Centreville Road","","","Manassas","VA","20111","","6:00 AM - 7:00 PM","","80047"
"SAINT ANDREW'S UNITED METHODIST CHURCH","5615 Portsmouth Blvd","","","Portsmouth","VA","237011834","","6:00 AM - 7:00 PM","","80048"
"MONTCLAIR ELEMENTARY SCHOOL","4920 Tallowwood Dr","","","Dumfries","VA","220253030","","6:00 AM - 7:00 PM","","80049"
"MOSS-NUCKOLS ELEMENTARY SCHOOL","2055 Courthouse Road","","","Louisa","VA","23093","Gym","6:00 AM - 7:00 PM","","80050"
"JOHN L. HURT ELEMENTARY SCHOOL","315 Prospect Rd","","","Hurt","VA","245632114","CAFETERIA","6:00 AM - 7:00 PM","","80051"
"GLEN WILTON FIREHOUSE","55 FIREHOUSE LANE","P.O. Box 56","","Glen Wilton","VA","24438","","6:00 AM - 7:00 PM","","80052"
"EMILY N. SPONG PRESCHOOL CENTER","2200 Piedmont Ave","","","Portsmouth","VA","237045408","","6:00 AM - 7:00 PM","","80053"
"BAPTIST UNION BAPTIST CHURCH","127 Baptist Union Rd","","","Dillwyn","VA","23936","","6:00 AM - 7:00 PM","","80054"
"LAMBSBURG COMMUNITY COMPLEX","130 LEARNING LANE","","","LAMBSBURG","VA","24351","","6:00 AM - 7:00 PM","","80055"
"POLICE OFFICE DOYLE THOMAS PK","827 Green St","","","Danville","VA","245412033","","6:00 AM - 7:00 PM","","80056"
"Calvary Baptist Church","4832 Haygood Road","","","Virginia Beach","VA","23455","Sanctuary","6:00 AM - 7:00 PM","","80057"
"JAMES MOORE TERMINAL BUILDING","1450 AVIATION ROAD","","","TAPPAHANNOCK","VA","22560","","6:00 AM - 7:00 PM","","80058"
"O. T. BONNER SCHOOL","300 Apollo Ave","","","Danville","VA","24540","","6:00 AM - 7:00 PM","","80059"
"ROBBINS CHAPEL POLLING HOUSE","ST RD 606","","","Keokee","VA","24265","","6:00 AM - 7:00 PM","","80060"
"FAIRFAX CITY HALL","10455 Armstrong St","","","Fairfax","VA","220303627","COUNCIL SESSION WORK ROOM","6:00 AM - 7:00 PM","","80061"
"PEARSONS CORNER ELEMENTARY SCHOOL","8290 New Ashcake Rd","","","Mechanicsville","VA","23116","","6:00 AM - 7:00 PM","","80062"
"LANGSTON FOCUS CENTER","228 Cleveland St","","","Danville","VA","245412317","","6:00 AM - 7:00 PM","","80063"
"COL HEIGHTS MIDDLE SCHOOL","500 Conduit Rd","","","Colonial Heights","VA","238343546","","6:00 AM - 7:00 PM","","80064"
"READ MOUNTAIN MIDDLE SCHOOL","182 Orchard Hill Dr","","","Cloverdale","VA","240773034","Cafeteria","6:00 AM - 7:00 PM","","80065"
"PROSPECT HEIGHTS MIDDLE SCHOOL","202 DAILEY Drive","","","ORANGE","VA","22960","","6:00 AM - 7:00 PM","","80066"
"ENGLAND RUN LIBRARY","806 LYONS BLVD","","","FREDERICKSBURG","VA","22406","","6:00 AM - 7:00 PM","","80067"
"STONEWALL MIDDLE SCHOOL","10100 Lomond Dr","","","Manassas","VA","201093139","LIBRARY","6:00 AM - 7:00 PM","","80068"
"WYTHEVILLE COMMUNITY CENTER","250 S 4th St","","","Wytheville","VA","243822503","","6:00 AM - 7:00 PM","","80069"
"FIRE & EMERGENCY BUILDING","210 E Railroad Ave","","","Rural Retreat","VA","24368","","6:00 AM - 7:00 PM","","80070"
"HORSEPASTURE RURITAN BLDG","16209 A L PHILPOTT HWY","","","MARTINSVILLE","VA","24112","","6:00 AM - 7:00 PM","","80071"
"CHRIST LUTHERAN CHURCH","3810 Meredith Dr","","","Fairfax","VA","220303047","","6:00 AM - 7:00 PM","","80072"
"COLLEGIATE SCHOOL ATHLETICS BUILDING","400 Blair Rd","","","Richmond","VA","23238","","6:00 AM - 7:00 PM","","80073"
"JOHN L. HURT ELEMENTARY SCHOOL","315 Prospect Rd","","","Hurt","VA","245632114","CAFETERIA","6:00 AM - 7:00 PM","","80074"
"BALLOU PARK RECREATION CENTER","760 W Main St","","","Danville","VA","24541","","6:00 AM - 7:00 PM","","80075"
"GORDONSVILLE FIRE HOUSE","301 East Baker St.","","","Gordonsville","VA","22942","","6:00 AM - 7:00 PM","","80076"
"MECHANICSVILLE CHRISTIAN CTR","8061 Shady Grove Rd","","","Mechanicsville","VA","231112258","","6:00 AM - 7:00 PM","","80077"
"HENDERSON ELEMENTARY SCHOOL","3799 Waterway Dr","","","Dumfries","VA","220251085","","6:00 AM - 7:00 PM","","80078"
"SYLVATUS RURITAN BUILDING","6915 SYLVATUS HWY","","","HILLSVILLE","VA","243434344","","6:00 AM - 7:00 PM","","80079"
"PARK VIEW ELEMENTARY SCHOOL","260 ELM AVENUE","","","Portsmouth","VA","237042113","","6:00 AM - 7:00 PM","","80080"
"JOHN TYLER ELEMENTARY SCHOOL","3649 Hartford St","","","Portsmouth","VA","237071205","","6:00 AM - 7:00 PM","","80081"
"St Margaret's Episcopal Church","5290 Saratoga Lane","","","Woodbridge","VA","22193","","6:00 AM - 7:00 PM","","80082"
"COATES RECREATION CENTER","1725 Westover Dr","","","Danville","VA","245415044","","6:00 AM - 7:00 PM","","80083"
"BENNETT ELEMENTARY SCHOOL","8800 Old Dominion Dr","","","Manassas","VA","201106925","","6:00 AM - 7:00 PM","","80084"
"MECHANICSVILLE ELEM SCHOOL","7425 Mechanicsville Elem Dr","","","Mechanicsville","VA","231111725","","6:00 AM - 7:00 PM","","80085"
"CAVALIER MANOR RECREATION CENTER","404 Viking St","","","Portsmouth","VA","237013216","","6:00 AM - 7:00 PM","","80086"
"STACY C. SHERWOOD COMMUNITY CENTER","3740 Old Lee Hwy","","","Fairfax","VA","220301865","","6:00 AM - 7:00 PM","","80087"
"GRUNDY HIGH SCHOOL","1300 GOLDEN WAVE DR","","","GRUNDY","VA","24614","HALL","6:00 AM - 7:00 PM","","80088"
"MT OLIVET RURITAN BUILDING","400 Ward Rd","","","Martinsville","VA","241120503","","6:00 AM - 7:00 PM","","80089"
"JOHN H ENDERS VOL FIRE CO","9 S Buckmarsh St","","","Berryville","VA","226111205","","6:00 AM - 7:00 PM","","80090"
"ELK CREEK BAPTIST CHURCH","5916 Kentucky Springs Road","","","Mineral","VA","23117","Fellowship HaLL","6:00 AM - 7:00 PM","","80091"
"ROWE SENIOR CITIZEN BUILDING","3756 GARDEN CREEK RD","","","ROWE","VA","24646","","6:00 AM - 7:00 PM","","80092"
"CLARKE CO. PUBLIC SCHOOL OFFICE BLDG","317 W MAIN ST","","","BERRYVILLE","VA","22611","MULTI-PURPOSE","6:00 AM - 7:00 PM","","80093"
"SEMINARY POLLING HOUSE","ST RD 708","","","Big Stone Gap","VA","24219","","6:00 AM - 7:00 PM","","80094"
"KERSEY CREEK ELEM SCHOOL","10004 LEARNING LANE","","","Mechanicsville","VA","23116","","6:00 AM - 7:00 PM","","80095"
"HH Poole Middle School","800 Eustace Rd.","","","Stafford","VA","22554","","6:00 AM - 7:00 PM","","80096"
"RUSSELL PRATER ELEM SCHOOL","8433 LOVERS GAP RD","","","VANSANT","VA","24656","HALL","6:00 AM - 7:00 PM","","80097"
"ROCKLEDGE ELEMENTARY SCHOOL","2300 MARINER LANE","","","Woodbridge","VA","22191","","6:00 AM - 7:00 PM","","80098"
"BULL RUN MIDDLE SCHOOL","6308 Catharpin Road","","","Gainesville","VA","20155","","6:00 AM - 7:00 PM","","80099"
"COUNTY LINE FELLOWSHIP HALL","4070 County Line Rd","","","Kents Store","VA","230842155","","6:00 AM - 7:00 PM","","80100"
"FT CHISWELL HIGH SCHOOL","764 Fort Chiswell Rd","","","Max Meadows","VA","243603303","","6:00 AM - 7:00 PM","","80101"
"GOOCHLAND COMPANY 5 FIREHOUSE","2710 Fairground Rd","","","GOOCHLAND","VA","23063","","6:00 AM - 7:00 PM","","80102"
"Old Pace West Building","14600 Washington Street","","","Haymarket","VA","20169","","6:00 AM - 7:00 PM","","80103"
"Piedmont Community Impact Building","215 School Rd.","","","Gladys","VA","24554","","6:00 AM - 7:00 PM","","80104"
"ANTIOCH BAPTIST CHURCH","4422 Antioch Rd","Corner of Rolling Rd S & Antioch Rd","","SCOTTSVILLE","VA","245904713","","6:00 AM - 7:00 PM","","80105"
"Ronald Reagan Middle School","15801 Tanning House Pl","","","Haymarket","VA","20169","","6:00 AM - 7:00 PM","","80106"
"FREEDOM HIGH SCHOOL","15201 Neabsco Mills Road","","","Woodbridge","VA","22191","","6:00 AM - 7:00 PM","","80107"
"VIRGINIA HIGH SCHOOL","1200 Long Crescent Dr","","","Bristol","VA","242012752","Gym","6:00 AM - 7:00 PM","","80108"
"DOVER BAPTIST CHURCH HERITAGE HALL","635 Manakin Rd","","","Manakin Sabot","VA","231033303","","6:00 AM - 7:00 PM","","80109"
"Squires Student Center - F3","290 College Avenue","","","Blacksburg","VA","24061","","6:00 AM - 7:00 PM","","80110"
"NOBLE STREET BAPTIST CHURCH","100 Noble St","","","Portsmouth","VA","237021060","","6:00 AM - 7:00 PM","","80111"
"COLES ELEMENTARY SCHOOL","7405 Hoadly Road","","","Manassas","VA","20112","","6:00 AM - 7:00 PM","","80112"
"POWHATAN SCHOOL","49 Powhatan Ln","","","Boyce","VA","226202207","","6:00 AM - 7:00 PM","","80113"
"LOUISA VOLUNTEER FIRE DEPT","300 E Main St","","","Louisa","VA","230936516","","6:00 AM - 7:00 PM","","80114"
"GEORGE WYTHE HIGH SCHOOL GYM","1 Maroon Way","","","Wytheville","VA","243821554","","6:00 AM - 7:00 PM","","80115"
"Totaro Elementary School","19350 Christanna Hwy","","","Lawrenceville","VA","23868","","6:00 AM - 7:00 PM","","80116"
"Upper K&Q Rescue Squad Bldg","155 Indian Neck Road","","","Newtown","VA","23126","","6:00 AM - 7:00 PM","","80117"
"King & Queen Elementary School","24667 The Trail","","","Mattaponi","VA","23110","","6:00 AM - 7:00 PM","","80118"
"LAKEVIEW ELEMENTARY SCHOOL","1300 Horne Ave","","","Portsmouth","VA","237013122","","6:00 AM - 7:00 PM","","80119"
"PORTER TRADITIONAL SCHOOL","15311 FOREST GROVE DRIVE","","","WOODBRIDGE","VA","22191","","6:00 AM - 7:00 PM","","80120"
"CORNERSTONE PENTECOSTAL CHURCH","1457 James Madison Hwy","","","Gordonsville","VA","229426117","","6:00 AM - 7:00 PM","","80121"
"FIRST CHURCH OF THE NAZARENE","1737 Wards Ferry Rd","","","Lynchburg","VA","24502","","6:00 AM - 7:00 PM","","80122"
"HOLLYBROOK FIRE DEPARTMENT","3882 Wilderness Rd","","","Bland","VA","243154977","","6:00 AM - 7:00 PM","","80123"
"GRAHAM PARK MIDDLE SCHOOL","3613 Graham Park Rd","","","Triangle","VA","221721108","","6:00 AM - 7:00 PM","","80124"
"SPENCER RURITAN BLDG","150 GEORGE TAYLOR ROAD","","","SPENCER","VA","24165","","6:00 AM - 7:00 PM","","80125"
"Lower K&Q Fire Building","4764 York River Road","","","Shacklefords","VA","23156","","6:00 AM - 7:00 PM","","80126"
"HERITAGE BAPTIST CHURCH","14510 Spriggs Road","","","Woodbridge","VA","22193","","6:00 AM - 7:00 PM","","80127"
"COURTHOUSE COMMUNITY CENTER","29 Stafford Ave","","","Stafford","VA","225547246","","6:00 AM - 7:00 PM","","80128"
"Haymarket Elementary School","15500 Learning Lane","","","Haymarket","VA","20169","","6:00 AM - 7:00 PM","","80129"
"Leesylvania Elementary School","15800 Neabsco Rd","","","Woodbridge","VA","22191","","6:00 AM - 7:00 PM","","80130"
"WOODBRIDGE MIDDLE SCHOOL","2201 York Drive","","","Woodbridge","VA","22191","","6:00 AM - 7:00 PM","","80131"
"BASSETT RURITAN BUILDING","277 PHILPOTT DAM ROAD","","","BASSETT","VA","24055","","6:00 AM - 7:00 PM","","80132"
"OLD CHATHAM ELEM SCH LIBRARY","100 Old Chatham Elementary Ln","","","Chatham","VA","245313392","","6:00 AM - 7:00 PM","","80133"
"All Saints Church of Woodbridge","14851 Gideon Drive","","","Woodbridge","VA","22192","","6:00 AM - 7:00 PM","","80134"
"KILBY ELEMENTARY SCHOOL","1800 Horner Rd","","","Woodbridge","VA","221911917","","6:00 AM - 7:00 PM","","80135"
"ST. MARK MISSIONARY BAPTIST CHURCH","2714 Frederick Blvd","","","Portsmouth","VA","237046818","","6:00 AM - 7:00 PM","","80136"
"CURDSVILLE COMMUNITY CENTER","122 School Rd","","","Dillwyn","VA","23936","","6:00 AM - 7:00 PM","","80137"
"GRUNDY PLAZA ","1103 Plaza Dr","","","Grundy","VA","246149434","","6:00 AM - 7:00 PM","","80138"
"UNIONVILLE ELEMENTARY SCHOOL","10285 Zachary Taylor Hwy","","","Unionville","VA","22567","","6:00 AM - 7:00 PM","","80139"
