precinct_split_id,electoral_district_id
310450306,2080000
310138696,2080000
31038651,2080000
310448569,2080000
310100601,2080000
310116621,2080000
310184601,2080000
310198607,2080000
310446156,2080000
31086604,2080000
310449669,2080000
310158617,2080000
310448605,2080000
310456092,2080000
310453404,2080000
31012567,2080000
310446131,2080000
310198608,2080000
310453394,2080000
310116622,2080000
31098602,2080000
310132569,2080000
31038619,2080000
310216615,2080000
31038649,2080000
310158604,2080000
310114576,2080000
310216622,2080000
310158597,2080000
31070580,2080000
310456091,2080000
310216642,2080000
310450192,2080000
310158615,2080000
310454131,2080000
31070567,2080000
310190641,2080000
31018562,2080000
31010573,2080000
310100596,2080000
31062570,2080000
31060613,2080000
31098603,2080000
310100598,2080000
31086583,2080000
31012578,2080000
310214633,2080000
310214629,2080000
310190624,2080000
31086584,2080000
310216653,2080000
31086590,2080000
31010597,2080000
31018575,2080000
310116607,2080000
31010577,2080000
31060614,2080000
31098607,2080000
310156610,2080000
310116600,2080000
310445648,2080000
310156609,2080000
31086603,2080000
310449671,2080000
31070584,2080000
31090679,2080000
31012561,2080000
310100606,2080000
310184603,2080000
310216614,2080000
31062578,2080000
310216644,2080000
310156595,2080000
31018563,2080000
310114578,2080000
31070581,2080000
31060636,2080000
310446114,2080000
310216641,2080000
310446148,2080000
310132574,2080000
310214620,2080000
31032584,2080000
31010575,2080000
31054574,2080000
31098621,2080000
31098604,2080000
310106581,2080000
31012551,2080000
31018576,2080000
310453407,2080000
310453403,2080000
310106596,2080000
310184625,2080000
31010562,2080000
31012562,2080000
310184610,2080000
31060621,2080000
31032566,2080000
310100597,2080000
310455434,2080000
310216621,2080000
310100610,2080000
31038617,2080000
310448626,2080000
31038670,2080000
31070575,2080000
31060596,2080000
310210604,2080000
310158599,2080000
310445689,2080000
31018560,2080000
310214630,2080000
31018590,2080000
31060628,2080000
31062561,2080000
31038618,2080000
310450304,2080000
31098614,2080000
310190638,2080000
31010588,2080000
310200617,2080000
31028602,2080000
310106584,2080000
310190665,2080000
310446152,2080000
310116627,2080000
310131276,2080000
310190684,2080000
310214627,2080000
31054553,2080000
310116604,2080000
310200613,2080000
31032565,2080000
310214621,2080000
310210611,2080000
310448601,2080000
310106589,2080000
310453821,2080000
31038638,2080000
310453509,2080000
310446135,2080000
31054578,2080000
310184618,2080000
31060587,2080000
31098606,2080000
31012566,2080000
310446147,2080000
310449716,2080000
310455374,2080000
310100594,2080000
31054572,2080000
31018585,2080000
310216623,2080000
31038667,2080000
310156607,2080000
310156596,2080000
310450193,2080000
310446158,2080000
310445940,2080000
31012548,2080000
310116611,2080000
31086593,2080000
310218782,2080000
31062579,2080000
310184615,2080000
310190620,2080000
310446129,2080000
310455555,2080000
31086596,2080000
310446136,2080000
310158633,2080000
31086585,2080000
310100612,2080000
31086608,2080000
31032586,2080000
310106580,2080000
310448636,2080000
310170593,2080000
310132571,2080000
310106590,2080000
310198616,2080000
31070588,2080000
31038633,2080000
310446149,2080000
310449806,2080000
310156589,2080000
310200620,2080000
310453505,2080000
31012547,2080000
31060606,2080000
310446162,2080000
31086617,2080000
310446116,2080000
31038650,2080000
310214631,2080000
31086582,2080000
31038672,2080000
31060638,2080000
31040665,2080000
310453399,2080000
310447389,2080000
31086615,2080000
31070582,2080000
310158629,2080000
31038659,2080000
310448622,2080000
310445979,2080000
310198619,2080000
310448602,2080000
310158612,2080000
310448637,2080000
310448606,2080000
31086618,2080000
310448632,2080000
31062562,2080000
310450190,2080000
310216648,2080000
31010568,2080000
31062575,2080000
310176601,2080000
310446426,2080000
310156601,2080000
31038608,2080000
310156587,2080000
310110582,2080000
310453414,2080000
310455123,2080000
31018579,2080000
310456093,2080000
310214632,2080000
310216643,2080000
310116628,2080000
31098600,2080000
310214640,2080000
31038626,2080000
310453372,2080000
310216657,2080000
310184612,2080000
310446134,2080000
310198620,2080000
310454143,2080000
31098591,2080000
31054577,2080000
310198612,2080000
310156603,2080000
310158595,2080000
310198627,2080000
31060633,2080000
310110580,2080000
31070583,2080000
310455542,2080000
310446153,2080000
310216613,2080000
310446126,2080000
310200624,2080000
31054576,2080000
31010583,2080000
310445686,2080000
31086599,2080000
31098592,2080000
310446122,2080000
310216645,2080000
310158616,2080000
310158600,2080000
31032571,2080000
310156608,2080000
310158632,2080000
310190644,2080000
31086589,2080000
31032558,2080000
310450305,2080000
31086614,2080000
31038656,2080000
31038623,2080000
310200609,2080000
310448639,2080000
310449675,2080000
310456290,2080000
310100602,2080000
310448617,2080000
31018583,2080000
31086587,2080000
310448634,2080000
31032575,2080000
310448640,2080000
310162673,2080000
31038640,2080000
310448635,2080000
310184630,2080000
310170594,2080000
310446163,2080000
310200616,2080000
310454141,2080000
31018574,2080000
310216637,2080000
310190621,2080000
310453392,2080000
31018577,2080000
310214626,2080000
31032564,2080000
310446113,2080000
31010586,2080000
310448614,2080000
310100600,2080000
31012575,2080000
310188698,2080000
310190669,2080000
310216658,2080000
31032570,2080000
310116635,2080000
31070577,2080000
310200623,2080000
310214624,2080000
310214625,2080000
31010576,2080000
31098612,2080000
31010589,2080000
31060629,2080000
31038645,2080000
31086600,2080000
310450297,2080000
310447949,2080000
310170600,2080000
310110578,2080000
31018565,2080000
310184611,2080000
31060605,2080000
310176592,2080000
31038637,2080000
31038666,2080000
310446151,2080000
310198613,2080000
310190656,2080000
310198605,2080000
310100604,2080000
310116603,2080000
310455005,2080000
310158623,2080000
31054570,2080000
310158608,2080000
310448610,2080000
310448627,2080000
310132568,2080000
310214618,2080000
31086597,2080000
310200621,2080000
310190667,2080000
310446124,2080000
31032583,2080000
310156604,2080000
31012557,2080000
310455570,2080000
31098617,2080000
310446164,2080000
310445980,2080000
31086619,2080000
310114581,2080000
310446155,2080000
310106593,2080000
310214623,2080000
31062569,2080000
310445756,2080000
310158596,2080000
310184613,2080000
31060623,2080000
31062574,2080000
31038661,2080000
310198615,2080000
310106594,2080000
310454101,2080000
310176596,2080000
310100591,2080000
31062559,2080000
310116637,2080000
31018587,2080000
31060624,2080000
310190679,2080000
31070573,2080000
31018592,2080000
31062567,2080000
31032572,2080000
310100599,2080000
310216636,2080000
310116630,2080000
310100609,2080000
310198625,2080000
