name,type,number,id
Labette Township,Precinct,100,320212690
Liberty Township,Precinct,110,320212691
Montana Township,Precinct,120,320212692
Mound Valley Township,Precinct,130,320212693
Mount Pleasant Township,Precinct,140,320212694
Neosho Township,Precinct,150,320212695
North Township,Precinct,,320212696
Osage Township,Precinct,170,320212697
Oswego City Ward 1,Precinct,180,320212698
Oswego City Ward 2,Precinct,,320212699
Oswego City Ward 3,Precinct,200,320212700
Oswego Township,Precinct,210,320212701
Parsons Ward 1 Precinct 1,Precinct,220,320212702
Parsons Ward 1 Precinct 2,Precinct,230,320212703
Parsons Ward 1 Precinct 3,Precinct,240,320212704
Parsons Ward 2 Precinct 1,Precinct,250,320212705
Parsons Ward 2 Precinct 2,Precinct,260,320212706
Parsons Ward 2 Precinct 3,Precinct,,320212707
Logan Township,Precinct,130,320204698
Marmaton Township,Precinct,140,320204699
North Elsmore,Precinct,150,320204700
North Iola,Precinct,,320204701
Osage Township,Precinct,170,320204703
Salem Township,Precinct,180,320204704
South Elsmore,Precinct,190,320204705
South Iola,Precinct,,320204706
West Elm,Precinct,210,320204707
Vtd 50,Precinct,50,32030526
Vtd 6a,Precinct,,32030530
Vtd 6b,Precinct,,32030531
Vtd 120,Precinct,120,32030534
Vtd 110,Precinct,110,32030537
Vtd 20,Precinct,20,32030541
Vtd 30,Precinct,30,32030543
Vtd 40,Precinct,40,32030545
Vtd 70,Precinct,70,32030548
Vtd 80,Precinct,80,32030550
Vtd 90,Precinct,90,32030552
Vtd 100,Precinct,100,32030555
Vtd 10,Precinct,10,320198631
Vtd 100,Precinct,100,320198632
Vtd 110,Precinct,110,320198633
Vtd 20,Precinct,20,320198634
Vtd 30,Precinct,30,320198635
Vtd 40,Precinct,40,320198636
Vtd 50,Precinct,50,320198637
Vtd 60,Precinct,60,320198638
Vtd 70,Precinct,70,320198639
Vtd 80,Precinct,80,320198640
Vtd 90,Precinct,90,320198641
And W4 Prec. Comm. Man - Dem,Precinct,217,320456244
And W4 Prec. Comm. Man - Rep,Precinct,218,320456245
And W4 Prec. Comm. Woman - Dem,Precinct,219,320456246
VTD 000020,Precinct,20,320449294
VTD 000030,Precinct,30,320449293
VTD 000010,Precinct,10,320449292
VTD 000040,Precinct,40,320449291
VTD 000050,Precinct,50,320449290
Vtd 10,Precinct,10,320114557
Vtd 20,Precinct,20,320114567
Vtd 30,Precinct,30,320114574
Precinct 000,Precinct,0,320176617
Precinct 001,Precinct,1,320176618
Precinct 002,Precinct,2,320176619
Precinct 003,Precinct,3,320176620
Vtd 10,Precinct,10,320214647
Vtd 100,Precinct,100,320214648
Vtd 110,Precinct,110,320214649
Vtd 20,Precinct,20,320214650
Vtd 30,Precinct,30,320214651
Vtd 40,Precinct,40,320214652
Vtd 50,Precinct,50,320214653
Vtd 60,Precinct,60,320214654
Vtd 70,Precinct,70,320214655
Vtd 80,Precinct,80,320214656
Vtd 90,Precinct,90,320214657
Parsons Ward 3 Precinct 1,Precinct,280,320212708
Parsons Ward 3 Precinct 2,Precinct,,320212709
Parsons Ward 3 Precinct 3,Precinct,300,320212710
Parsons Ward 3 Precinct 4,Precinct,,320212711
Parsons Ward 4 Precinct 1,Precinct,320,320212712
Parsons Ward 4 Precinct 2,Precinct,330,320212713
Parsons Ward 4 Precinct 3,Precinct,340,320212714
Parsons Ward 4 Precinct 4,Precinct,350,320212715
Richland Township,Precinct,360,320212716
Walton Township,Precinct,370,320212717
Vtd 10,Precinct,10,32060530
Vtd 50,Precinct,50,32060541
Vtd 100,Precinct,100,32060544
Vtd 40,Precinct,40,32060548
Vtd 30,Precinct,30,32060551
Vtd 60,Precinct,60,32060556
Vtd 110,Precinct,110,32060560
Vtd 90,Precinct,90,32060562
Vtd 20,Precinct,20,32060566
Vtd 70,Precinct,70,32060573
Vtd 80,Precinct,80,32060577
Vtd 120,Precinct,120,32060580
Vtd 130,Precinct,130,32060582
Canville Tshp Canville,Precinct,,320206675
Centerville Tshp Centervi,Precinct,30,320206676
Chanute Ward 1,Precinct,40,320206677
Chanute Precinct 01 Ward,Precinct,50,320206678
Chanute Precinct 02 Ward,Precinct,60,320206679
Chanute Precinct 01 Ward,Precinct,70,320206680
Chanute Precinct 02 Ward,Precinct,80,320206681
