"referendum_id","custom_ballot_id","write_in","image_url","id"
"110016","","","","374"
"","","","","375"
"110016","","","","376"
"","","","","377"
"110007","","","","378"
"","","","","379"
"110016","","","","380"
"","","","","381"
"110006","","","","382"
"","","","","383"
"110006","","","","384"
"","","","","385"
"110007","","","","386"
"","","","","387"
"","","","","388"
"","","","","389"
"","","","","390"
"","","","","391"
"110008","","","","392"
"110009","","","","393"
"110013","","","","394"
"","","","","395"
"","","","","396"
"","","","","397"
"110006","","","","398"
"","","","","399"
"110006","","","","400"
"","","","","401"
"","","","","402"
"110016","","","","403"
"","","","","404"
"110016","","","","405"
"","","","","406"
"110016","","","","407"
"","","","","408"
"","","","","409"
"","","","","410"
"","","","","411"
"","","","","412"
"110006","","","","413"
"","","","","414"
"","","","","415"
"110001","","","","416"
"110002","","","","417"
"110011","","","","418"
"110014","","","","419"
"","","","","420"
"110006","","","","421"
"110008","","","","422"
"110009","","","","423"
"110013","","","","424"
"","","","","425"
"","","","","426"
