"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"502 - RIXEYVILLE","0502","70023","","","","90105"
"413 - FOUR HUNDRED THIRTEEN","0413","70127","","","","90106"
"402 - STONEHOUSE B","0402","70049","","","","90107"
"505 - TOTOPOTOMOY","0505","70044","","","","90108"
"205 - DOUGLAS MACARTHUR SCHOOL","0205","70098","","","","90109"
"416 - SPOTTSWOOD","0416","70045","","","","90110"
"202 - SANDY HOOK","0202","70039","","","","90111"
"501 - MANAKIN","0501","70039","","","","90112"
"103 - SOUTHERN BRANCH","0103","70062","","","","90113"
"402 - PRECINCT 2 - DISTRICT FOUR","0402","70108","","","","90114"
"206 - COURTHOUSE","0206","70044","","","","90115"
"402 - CRESTVIEW","0402","70045","","","","90116"
"712 - SHREVE","0712","70028","","","","90117"
"402 - PARKSIDE","0402","70084","","","","90118"
"410 - FOUR HUNDRED TEN","0410","70127","","","","90119"
"101 - BOWLING GREEN","0101","70016","","","","90120"
"604 - BUCKNELL","0604","70028","","","","90121"
"208 - HYLTON","0208","70072","","","","90122"
"106 - WESTGATE","0106","70072","","","","90123"
"306 - POCAHONTAS","0306","70045","","","","90124"
"106 - CORA KELLY CENTER","0106","70098","","","","90125"
"911 - NINE HUNDRED ELEVEN","0911","70127","","","","90126"
"402 - CARMEL CHURCH","0402","70016","","","","90127"
"401 - SHALLOW WELL","0401","70039","","","","90128"
"403 - BROOKE","0403","70085","","","","90129"
"402 - SARAHS CREEK","0402","70038","","","","90130"
"104 - NOKESVILLE","0104","70072","","","","90131"
"301 - AYLETT","0301","70052","","","","90132"
"401 - BUSH HILL","0401","70028","","","","90133"
"405 - STONEWALL","0405","70072","","","","90134"
"308 - RIVERS EDGE","0308","70045","","","","90135"
"102 - PASSAPATANZY","0102","70051","","","","90136"
"203 - JAMESTOWN C","0203","70049","","","","90137"
"204 - CHANCELLOR","0204","70084","","","","90138"
"506 - GEORGETOWN","0506","70044","","","","90139"
"007 - CHERRYDALE","0007","70006","","","","90140"
"503 - NEWMAN","0503","70044","","","","90141"
"502 - BLAIR ROAD","0502","70039","","","","90142"
"306 - THREE HUNDRED SIX","0306","70127","","","","90143"
"112 - LONGAN","0112","70045","","","","90144"
"401 - PRECINCT 4-1","0401","70053","","","","90145"
"302 - CHESTERBROOK","0302","70028","","","","90146"
"627 - WOODLAWN","0627","70028","","","","90147"
"039 - ASHLAWN","0039","70006","","","","90148"
"602 - LEE DAVIS","0602","70044","","","","90149"
"014 - CLARENDON","0014","70006","","","","90150"
"102 - ONE HUNDRED TWO","0102","70127","","","","90151"
"203 - BENNETT","0203","70072","","","","90152"
"201 - NEW MARKET","0201","70059","","","","90153"
"704 - GAYLE","0704","70084","","","","90154"
"404 - PROVIDENCE","0404","70020","","","","90155"
"001 - ARLINGTON","0001","70006","","","","90156"
"303 - HARBOUR","0303","70085","","","","90157"
"305 - NUCKOLS FARM","0305","70045","","","","90158"
"403 - MOUNTCASTLE","0403","70062","","","","90159"
"503 - MIDLOTHIAN","0503","70020","","","","90160"
"606 - SIX HUNDRED SIX","0606","70127","","","","90161"
"417 - EDGEWATER","0417","70020","","","","90162"
"101 - COURTHOUSE","0101","70051","","","","90163"
"101 - WEST POINT","0101","70052","","","","90164"
"601 - CHILESBURG","0601","70016","","","","90165"
"113 - MAUDE TREVVETT","0113","70045","","","","90166"
"104 - MASSAPONAX","0104","70084","","","","90167"
"405 - GAYTON","0405","70045","","","","90168"
"604 - ENGLAND RUN","0604","70085","","","","90169"
"605 - FORT HUNT","0605","70028","","","","90170"
"403 - GRAFTON","0403","70097","","","","90171"
"516 - POCOSHOCK","0516","70020","","","","90172"
"511 - WESTRIDGE","0511","70072","","","","90173"
"622 - LORTON STATION","0622","70028","","","","90174"
"316 - SALONA #1","0316","70028","","","","90175"
"304 - WILLOW SHADE","0304","70023","","","","90176"
"111 - LAKESIDE","0111","70045","","","","90177"
"102 - TUNSTALL","0102","70062","","","","90178"
"503 - FIVE HUNDRED THREE","0503","70127","","","","90179"
"307 - SOUTH PORT","0307","70098","","","","90180"
"301 - SHACKLEFORDS","0301","70050","","","","90181"
"313 - STONEY RUN","0313","70045","","","","90182"
"307 - HAYCOCK","0307","70028","","","","90183"
"514 - WATKINS","0514","70020","","","","90184"
"301 - WATKINS","0301","70062","","","","90185"
"202 - MARSHALL","0202","70072","","","","90186"
"102 - CEDAR POINT","0102","70072","","","","90187"
"101 - PRECINCT 1-1","0101","70053","","","","90188"
"210 - ST JAMES CHURCH","0210","70098","","","","90189"
"303 - SHADY GROVE","0303","70044","","","","90190"
"105 - BERKLEY","0105","70044","","","","90191"
"201 - SAUNDERS","0201","70072","","","","90192"
"601 - MITCHELLS","0601","70023","","","","90193"
"201 - NORTH MADISON","0201","70016","","","","90194"
"501 - TABB","0501","70097","","","","90195"
"409 - MAYBEURY","0409","70045","","","","90196"
"501 - FIVE SOUTH","0501","70065","","","","90197"
"501 - ROBERTS A","0501","70049","","","","90198"
"501 - 5A","0501","70064","","","","90199"
"302 - CUMBERLAND","0302","70062","","","","90200"
