"name","type","number","id"
"024","House of Delegates","024","60228"
"BLACKSBURG","Town","0180","60229"
"DISTRICT C","Election","03","60230"
"EMPORIA CITY","Locality","","60231"
"DISTRICT 2","Election","02","60232"
"COVINGTON DISTRICT","Election","02","60233"
"RUSTBURG DISTRICT","Election","04","60234"
"073","House of Delegates","073","60235"
"DISTRICT 3","Election","03","60236"
"075","House of Delegates","075","60237"
"PORTSMOUTH CITY","Locality","","60238"
"HAPPY CREEK DISTRICT","Election","02","60239"
"DISTRICT 5","Election","05","60240"
"VIRGINIA BEACH CITY","Locality","","60241"
"DISTRICT 4","Election","04","60242"
"SOUTH RIVER DISTRICT","Election","04","60243"
"MANASSAS CITY","Locality","","60244"
"HARRISONBURG CITY","Locality","","60245"
"SALEM CITY","Locality","","60246"
"DISTRICT 3","Election","03","60247"
"DISTRICT 3","Election","03","60248"
"064","House of Delegates","064","60249"
"EAST DISTRICT","Election","02","60250"
"DISTRICT ONE","Election","01","60251"
"CENTRAL","Election","05","60252"
"CARRSVILLE DISTRICT","Election","05","60253"
"052","House of Delegates","052","60254"
"CHARLOTTESVILLE CITY","Locality","","60255"
"FRANKLIN COUNTY","Locality","","60256"
"034","House of Delegates","034","60257"
"WAYNESBORO CITY","Locality","","60258"
"GLASGOW","Town","1080","60259"
"074","House of Delegates","074","60260"
"003","House of Delegates","003","60261"
"076","House of Delegates","076","60262"
"DAN RIVER DISTRICT","Election","01","60263"
"ESSEX COUNTY","Locality","","60264"
"FREDERICKSBURG CITY","Locality","","60265"
"DISTRICT 1","Election","01","60266"
"033","House of Delegates","033","60267"
"DISTRICT 1","Election","01","60268"
"028","House of Delegates","028","60269"
"FORK DISTRICT","Election","01","60270"
"ARLINGTON COUNTY","Locality","","60271"
"CEDAR MOUNTAIN DISTRICT","Election","06","60272"
"BLACKBERRY DISTRICT","Election","01","60273"
"MATHEWS COUNTY","Locality","","60274"
"ONLEY","Town","1835","60275"
"099","House of Delegates","099","60276"
"DISTRICT 2","Election","02","60277"
"DISTRICT 4","Election","04","60278"
"GILES COUNTY","Locality","","60279"
"PEARISBURG","Town","1880","60280"
"DISTRICT THREE","Election","03","60281"
"COLONIAL HEIGHTS CITY","Locality","","60282"
"WINDSOR HILLS DISTRICT","Election","03","60283"
"DISTRICT 4","Election","04","60284"
"013","House of Delegates","013","60285"
"045","House of Delegates","045","60286"
"STONEWALL-HAWTHORNE DIST","Election","04","60287"
"DISTRICT 5","Election","05","60288"
"083","House of Delegates","083","60289"
"COURTHOUSE DISTRICT","Election","04","60290"
"001","House of Delegates","001","60291"
"NEW CASTLE DISTRICT","Election","01","60292"
"091","House of Delegates","091","60293"
"027","House of Delegates","027","60294"
"SOUTH BOSTON","Town","2280","60295"
"PITTSYLVANIA COUNTY","Locality","","60296"
"PIEDMONT DISTRICT","Election","03","60297"
"JAMES MONROE DISTRICT","Election","02","60298"
"STANARDSVILLE","Town","2310","60299"
"PAGE COUNTY","Locality","","60300"
"042","House of Delegates","042","60301"
"041","House of Delegates","041","60302"
"NORTHAMPTON COUNTY","Locality","","60303"
"DISTRICT 3","Election","03","60304"
"LEXINGTON CITY","Locality","","60305"
"012","House of Delegates","012","60306"
"WYLLIESBURG-RED OAK DISTRICT","Election","02","60307"
"ROCKY MOUNT DISTRICT","Election","07","60308"
"DISTRICT 1","Election","01","60309"
"CHESAPEAKE CITY","Locality","","60310"
"057","House of Delegates","057","60311"
"DISTRICT 2","Election","02","60312"
"004","House of Delegates","004","60313"
"OPEQUON DISTRICT","Election","05","60314"
"011","House of Delegates","011","60315"
"DILLWYN","Town","0750","60316"
"DISTRICT 7","Election","07","60317"
"043","House of Delegates","043","60318"
"NORTHERN DISTRICT","Election","01","60319"
"RICHMOND CITY","Locality","","60320"
"STONEWALL DISTRICT","Election","03","60321"
"RIVANNA DISTRICT","Election","05","60322"
"DISTRICT 2","Election","02","60323"
"006","House of Delegates","006","60324"
"DISTRICT 5","Election","05","60325"
"072","House of Delegates","072","60326"
"WESTERN DISTRICT","Election","03","60327"
"STANARDSVILLE DISTRICT","Election","03","60328"
"WOODBRIDGE DISTRICT","Election","07","60329"
"LURAY","Town","1480","60330"
"DISTRICT 6","Election","06","60331"
"HOPEWELL CITY","Locality","","60332"
"081","House of Delegates","081","60333"
"084","House of Delegates","084","60334"
"GARRISONVILLE","Election","07","60335"
"PINEY MOUNTAIN DISTRICT","Election","05","60336"
"094","House of Delegates","094","60337"
"MINERAL DISTRICT","Election","04","60338"
"PATRICK HENRY DISTRICT","Election","03","60339"
"063","House of Delegates","063","60340"
