"name","precinct_id","ballot_style_image_url","id"
"0000","90397","","100000"
"0001","90166","","100001"
"0000","90430","","100002"
"0001","90541","","100003"
"0000","90203","","100004"
"0000","90377","","100005"
"0000","90221","","100006"
"0000","90279","","100007"
"0000","90145","","100008"
"0000","90168","","100009"
"0001","90240","","100010"
"0000","90446","","100011"
"0000","90170","","100012"
"0000","90255","","100013"
"0000","90496","","100014"
"0001","90460","","100015"
"0000","90231","","100016"
"0000","90148","","100017"
"0001","90516","","100018"
"0000","90021","","100019"
"1390","90088","","100020"
"0000","90085","","100021"
"0000","90477","","100022"
"0000","90160","","100023"
"0000","90074","","100024"
"0001","90547","","100025"
"0000","90282","","100026"
"0000","90543","","100027"
"1640","90260","","100028"
"0001","90422","","100029"
"0000","90250","","100030"
"0000","90610","","100031"
"0000","90631","","100032"
"0000","90561","","100033"
"0000","90466","","100034"
"0000","90013","","100035"
"0000","90396","","100036"
"0000","90608","","100037"
"0000","90181","","100038"
"0000","90300","","100039"
"0001","90573","","100040"
"1390","90316","","100041"
"0000","90571","","100042"
"0000","90405","","100043"
"0000","90523","","100044"
"0000","90097","","100045"
"0000","90111","","100046"
"0000","90070","","100047"
"0000","90290","","100048"
"0000","90045","","100049"
"0000","90066","","100050"
"0000","90169","","100051"
"0000","90537","","100052"
"0000","90363","","100053"
"0000","90474","","100054"
"0000","90596","","100055"
"0000","90041","","100056"
"0000","90612","","100057"
"0001","90027","","100058"
"0000","90344","","100059"
"0000","90179","","100060"
"0000","90088","","100061"
"0000","90256","","100062"
"0000","90216","","100063"
"0000","90320","","100064"
"0000","90468","","100065"
"0000","90532","","100066"
"0000","90503","","100067"
"0000","90283","","100068"
"0001","90243","","100069"
"0001","90564","","100070"
"0000","90606","","100071"
"0000","90613","","100072"
"0000","90389","","100073"
"0000","90000","","100074"
"0000","90017","","100075"
"0000","90035","","100076"
"0000","90371","","100077"
"0000","90114","","100078"
"0403","90335","","100079"
"0003","90001","","100080"
"0000","90391","","100081"
"0000","90109","","100082"
"0000","90094","","100083"
"0000","90331","","100084"
"0000","90541","","100085"
"0000","90269","","100086"
"0000","90275","","100087"
"0000","90053","","100088"
"0000","90243","","100089"
"0000","90573","","100090"
"0000","90172","","100091"
"0000","90355","","100092"
"0000","90157","","100093"
"0000","90130","","100094"
"0000","90209","","100095"
"0000","90289","","100096"
"0001","90208","","100097"
"0001","90543","","100098"
"WARD 3","90476","","100099"
"0000","90087","","100100"
"0002","90208","","100101"
"0000","90190","","100102"
"0001","90133","","100103"
"0000","90575","","100104"
"0000","90607","","100105"
"0001","90272","","100106"
"0000","90378","","100107"
"0000","90202","","100108"
"0000","90328","","100109"
"0000","90137","","100110"
"0000","90423","","100111"
"0000","90287","","100112"
"0000","90125","","100113"
"0000","90499","","100114"
"0000","90478","","100115"
"0002","90629","","100116"
"0000","90509","","100117"
"0000","90403","","100118"
"0000","90153","","100119"
"0000","90475","","100120"
"0000","90277","","100121"
"0000","90620","","100122"
"0000","90510","","100123"
"0000","90329","","100124"
"0000","90267","","100125"
"0000","90490","","100126"
"0000","90247","","100127"
"0000","90069","","100128"
"0001","90254","","100129"
"2030","90466","","100130"
"0000","90505","","100131"
"0000","90082","","100132"
"00001","90346","","100133"
"0000","90107","","100134"
"0000","90618","","100135"
"0000","90617","","100136"
"0000","90184","","100137"
"0001","90405","","100138"
"0001","90512","","100139"
"0000","90504","","100140"
"0002","90084","","100141"
"0000","90346","","100142"
"0000","90599","","100143"
"0000","90325","","100144"
"0000","90276","","100145"
"0001","90501","","100146"
"0000","90394","","100147"
"0000","90365","","100148"
"0001","90207","","100149"
"0000","90453","","100150"
"0000","90549","","100151"
"0000","90332","","100152"
"0000","90022","","100153"
"0000","90199","","100154"
"0000","90459","","100155"
"0001","90039","","100156"
"0000","90492","","100157"
"0000","90418","","100158"
"0001","90326","","100159"
"0000","90173","","100160"
"0000","90262","","100161"
"0000","90546","","100162"
"0001","90023","","100163"
"0000","90106","","100164"
"0000","90132","","100165"
"0001","90287","","100166"
"0000","90370","","100167"
"0000","90381","","100168"
"0000","90497","","100169"
"0001","90526","","100170"
"0000","90240","","100171"
"0000","90472","","100172"
"0000","90385","","100173"
"0000","90531","","100174"
"0000","90412","","100175"
"0000","90582","","100176"
"0000","90215","","100177"
"1390","90456","","100178"
"0001","90324","","100179"
"0000","90104","","100180"
"0001","90293","","100181"
"0000","90218","","100182"
"0000","90604","","100183"
"WARD 2","90079","","100184"
"0000","90027","","100185"
"0000","90096","","100186"
"0000","90176","","100187"
"0000","90061","","100188"
"0000","90152","","100189"
"0000","90016","","100190"
"0000","90407","","100191"
"1322","90316","","100192"
"2580 ","90604","","100193"
"0000","90626","","100194"
"0000","90553","","100195"
"0000","90214","","100196"
"0001","90369","","100197"
"0000","90140","","100198"
"0001","90126","","100199"
"0000","90552","","100200"
"0000","90237","","100201"
"0000","90071","","100202"
"0001","90081","","100203"
"0000","90268","","100204"
"0000","90602","","100205"
"0000","90359","","100206"
"0000","90133","","100207"
"0001","90454","","100208"
"0000","90034","","100209"
"0000","90353","","100210"
"0000","90239","","100211"
"0000","90633","","100212"
"0000","90225","","100213"
"0000","90299","","100214"
"0000","90010","","100215"
"0000","90533","","100216"
"0001","90215","","100217"
"0000","90484","","100218"
"0000","90281","","100219"
"0000","90263","","100220"
"0001","90323","","100221"
"0000","90434","","100222"
"0000","90590","","100223"
"2580","90486","","100224"
"0000","90557","","100225"
"0000","90092","","100226"
"0000","90273","","100227"
"0003","90285","","100228"
"0000","90340","","100229"
"0001","90432","","100230"
"0000","90570","","100231"
"0000","90052","","100232"
"0000","90588","","100233"
"0000","90223","","100234"
"0000","90043","","100235"
"0001","90340","","100236"
"0000","90234","","100237"
"0000","90313","","100238"
"0001","90020","","100239"
"0000","90217","","100240"
"0000","90547","","100241"
"0000","90057","","100242"
"0000","90100","","100243"
"0000","90425","","100244"
"0000","90539","","100245"
"0000","90556","","100246"
"0000","90007","","100247"
"0000","90439","","100248"
"0000","90249","","100249"
"0002","90404","","100250"
"0000","90065","","100251"
"0000","90310","","100252"
"0000","90581","","100253"
"0000","90373","","100254"
"0000","90352","","100255"
"0000","90258","","100256"
"0001","90494","","100257"
"0001","90258","","100258"
"0000","90293","","100259"
"0000","90081","","100260"
"0000","90226","","100261"
"0000","90489","","100262"
"0002","90201","","100263"
"0000","90424","","100264"
"0000","90260","","100265"
"0001","90376","","100266"
"0000","90416","","100267"
"1460","90347","","100268"
"0000","90149","","100269"
"0000","90591","","100270"
"0000","90427","","100271"
"0000","90261","","100272"
"0000","90558","","100273"
"0000","90182","","100274"
"0000","90366","","100275"
"0001","90162","","100276"
"0000","90432","","100277"
"0000","90004","","100278"
"0000","90471","","100279"
"WARD 1","90060","","100280"
"0000","90219","","100281"
"0000","90628","","100282"
"0000","90306","","100283"
"0000","90410","","100284"
"0000","90233","","100285"
"0000","90486","","100286"
"0000","90020","","100287"
"0000","90312","","100288"
"0000","90587","","100289"
"0000","90048","","100290"
"0610","90445","","100291"
"0000","90018","","100292"
"0000","90002","","100293"
"0001","90186","","100294"
"0001","90096","","100295"
"0000","90589","","100296"
"0000","90005","","100297"
"0001","90408","","100298"
"0001","90260","","100299"
"0000","90426","","100300"
"0003","90358","","100301"
"0000","90083","","100302"
"0001","90487","","100303"
"0000","90127","","100304"
"0000","90435","","100305"
"0000","90142","","100306"
"0001","90117","","100307"
"0000","90197","","100308"
"0000","90230","","100309"
"0000","90271","","100310"
"0000","90470","","100311"
"0000","90560","","100312"
"0000","90076","","100313"
"0000","90347","","100314"
"0000","90348","","100315"
"0000","90603","","100316"
"0000","90055","","100317"
"0000","90443","","100318"
"0002","90119","","100319"
"0000","90101","","100320"
"0001","90540","","100321"
"0000","90294","","100322"
"0000","90447","","100323"
"0000","90080","","100324"
"0001","90615","","100325"
"0000","90336","","100326"
"0000","90469","","100327"
"0000","90542","","100328"
"0000","90339","","100329"
"0000","90303","","100330"
