"ballot_id","candidate_id","sort_order"
"67","10489",""
"308","10937",""
"1","10938",""
"61","10938",""
"123","10909",""
"151","10433",""
"199","10470",""
"11","10163",""
"23","10938",""
"227","10442",""
"255","10378",""
"165","10939",""
"164","10942",""
"129","10937",""
"101","10941",""
"288","10967",""
"65","10939",""
"244","10939",""
"243","10942",""
"387","10937",""
"42","10938",""
"386","10940",""
"41","10941",""
"367","10967",""
"194","10742",""
"268","10232",""
"379","10942",""
"8","10663",""
"268","10937",""
"19","10941",""
"356","10941",""
"46","10352",""
"74","10164",""
"242","10563",""
"139","10941",""
"76","10650",""
"100","10467",""
"152","10824",""
"68","10939",""
"221","10942",""
"234","10203",""
"308","10676",""
"409","10937",""
"36","10718",""
"55","10798",""
"207","10652",""
"71","10208",""
"380","10939",""
"171","10967",""
"256","10079",""
"101","10535",""
"183","10426",""
"196","10313",""
"374","10233",""
"111","10395",""
"147","10137",""
"150","10640",""
"200","10470",""
"314","10938",""
"7","10939",""
"45","10939",""
"64","10939",""
"83","10939",""
"119","10967",""
"138","10967",""
"157","10967",""
"57","10712",""
"99","10266",""
"103","10695",""
"49","10940",""
"65","10350",""
"190","10656",""
"152","10024",""
"366","10587",""
"20","10888",""
"46","10314",""
"193","10313",""
"229","10569",""
"368","10786",""
"421","10418",""
"161","10942",""
"64","10305",""
"290","10937",""
"190","10967",""
"323","10939",""
"44","10942",""
"63","10942",""
"82","10942",""
"259","10941",""
"252","10938",""
"402","10939",""
"42","10748",""
"168","10296",""
"50","10937",""
"209","10967",""
"192","10938",""
"207","10937",""
"102","10938",""
"206","10940",""
"328","10967",""
"148","10409",""
"311","10938",""
"124","10939",""
"382","10942",""
"78","10967",""
"198","10967",""
"181","10938",""
"180","10941",""
"407","10967",""
"322","10942",""
"11","10641",""
"211","10937",""
"364","10940",""
"254","10704",""
"342","10741",""
"4","10939",""
"40","10967",""
"217","10967",""
"115","10132",""
"195","10665",""
"249","10967",""
"289","10786",""
"28","10027",""
"97","10583",""
"309","10815",""
"269","10967",""
"153","10824",""
"162","10939",""
"147","10664",""
"50","10087",""
"111","10967",""
"75","10116",""
"270","10342",""
"319","10391",""
"386","10427",""
"184","10426",""
"12","10472",""
"108","10515",""
"184","10445",""
"34","10938",""
"103","10942",""
"122","10942",""
"160","10942",""
"15","10477",""
"59","10721",""
"197","10906",""
"344","10047",""
"282","10938",""
"289","10938",""
"288","10941",""
"410","10937",""
"45","10464",""
"91","10942",""
"104","10939",""
"60","10967",""
"92","10160",""
"355","10939",""
"10","10940",""
"48","10940",""
"67","10940",""
"12","10942",""
"221","10510",""
"256","10074",""
"153","10938",""
"210","10938",""
"291","10941",""
"348","10941",""
"3","10942",""
"197","10740",""
"89","10940",""
"146","10940",""
"15","10942",""
"141","10828",""
"232","10938",""
"270","10938",""
"424","10939",""
"269","10941",""
"247","10937",""
"361","10938",""
"246","10940",""
"360","10941",""
"6","10966",""
"289","10316",""
"191","10938",""
"25","10939",""
"24","10942",""
"151","10801",""
"403","10321",""
"128","10937",""
"127","10940",""
"148","10967",""
"287","10967",""
"94","10033",""
"242","10620",""
"333","10198",""
"315","10939",""
"61","10869",""
"319","10937",""
"113","10938",""
"292","10938",""
"236","10967",""
"60","10238",""
"90","10937",""
"147","10937",""
"304","10434",""
"405","10939",""
"404","10942",""
"20","10900",""
"225","10940",""
"29","10325",""
"83","10089",""
"134","10938",""
"202","10939",""
"201","10942",""
"259","10504",""
"405","10234",""
"205","10967",""
"230","10967",""
"55","10938",""
"280","10322",""
"179","10652",""
"261","10880",""
"354","10370",""
"57","10731",""
"312","10232",""
"99","10050",""
"273","10927",""
"318","10391",""
"381","10342",""
"41","10278",""
"49","10087",""
"54","10730",""
"76","10116",""
"238","10705",""
"190","10091",""
"371","10938",""
"26","10939",""
"111","10941",""
"130","10941",""
"247","10519",""
"389","10451",""
"405","10329",""
"232","10126",""
"233","10757",""
"321","10430",""
"228","10940",""
"378","10941",""
"90","10925",""
"240","10937",""
"75","10860",""
"147","10505",""
"150","10937",""
"226","10937",""
"126","10967",""
"309","10967",""
"385","10967",""
"63","10054",""
"21","10080",""
