"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"202 - FRYING PAN","0202","70025","","","","90125"
"102 - TIP TOP","0102","70088","","","","90126"
"404 - OAKWOOD","0404","70013","","","","90127"
"403 - PRECINCT D-3","0403","70062","","","","90128"
"101 - MOCCASIN","0101","70079","","","","90129"
"304 - SNOWVILLE","0304","70073","","","","90130"
"403 - ST PAUL","0403","70095","","","","90131"
"WARD A - 0950A","A","70070","","","","90132"
"402 - JEWELL RIDGE","0402","70088","","","","90133"
"301 - DUBLIN","0301","70073","","","","90134"
"302 - HIWASSEE","0302","70073","","","","90135"
"403 - HONAKER","0403","70079","","","","90136"
"001 - EAST PRECINCT","0001","70123","","","","90137"
"501 - SPRINGVILLE","0501","70088","","","","90138"
"401 - MASSIE","0401","70073","","","","90139"
"301 - COOKS MILL","0301","70079","","","","90140"
"201 - NORTH CASTLEWOOD","0201","70079","","","","90141"
"201 - DAVIS","0201","70010","","","","90142"
"401 - DRILL","0401","70079","","","","90143"
