"name","precinct_id","ballot_style_image_url","id"
"0000","90107","","100000"
"0001","90022","","100001"
"0000","90094","","100002"
"0000","90037","","100003"
"0000","90027","","100004"
"0001","90112","","100005"
"0000","90022","","100006"
"0000","90125","","100007"
"0000","90049","","100008"
"0000","90131","","100009"
"0000","90099","","100010"
"0000","90108","","100011"
"1430","90104","","100012"
"0000","90105","","100013"
"0000","90046","","100014"
"0000","90096","","100015"
"0000","90012","","100016"
"0001","90079","","100017"
"0000","90122","","100018"
"0000","90053","","100019"
"0000","90033","","100020"
"0000","90021","","100021"
"0000","90040","","100022"
"0000","90003","","100023"
"0000","90133","","100024"
"0000","90002","","100025"
"0000","90081","","100026"
"0000","90026","","100027"
"0000","90091","","100028"
"0000","90141","","100029"
"0000","90004","","100030"
"0950E","90054","","100031"
"0000","90007","","100032"
"0000","90076","","100033"
"1430","90059","","100034"
"0000","90047","","100035"
"0000","90126","","100036"
"0000","90136","","100037"
"0000","90132","","100038"
"0000","90067","","100039"
"0000","90085","","100040"
"0001","90050","","100041"
"0000","90078","","100042"
"0001","90134","","100043"
"0000","90066","","100044"
"0000","90016","","100045"
"0000","90142","","100046"
"0000","90006","","100047"
"0000","90116","","100048"
"0001","90073","","100049"
"0000","90127","","100050"
"0000","90059","","100051"
"0000","90082","","100052"
"0000","90115","","100053"
"0000","90038","","100054"
"0000","90041","","100055"
"0000","90121","","100056"
"0001","90004","","100057"
"0000","90015","","100058"
"0000","90044","","100059"
"0000","90138","","100060"
"0001","90057","","100061"
"0000","90010","","100062"
"0000","90119","","100063"
"0000","90069","","100064"
"0000","90101","","100065"
"0000","90104","","100066"
"0000","90093","","100067"
"0000","90028","","100068"
"0001","90020","","100069"
"0000","90077","","100070"
"0000","90137","","100071"
"0001","90018","","100072"
"0000","90018","","100073"
"1150","90099","","100074"
"0000","90111","","100075"
"0001","90021","","100076"
"0000","90083","","100077"
"0000","90032","","100078"
"0000","90036","","100079"
"0000","90102","","100080"
"0000","90009","","100081"
"0000","90000","","100082"
"0000","90055","","100083"
"0000","90048","","100084"
"0000","90068","","100085"
"0000","90080","","100086"
"0000","90092","","100087"
"0000","90051","","100088"
"0200","90026","","100089"
"0000","90042","","100090"
"0170","90089","","100091"
"0000","90061","","100092"
"0000","90088","","100093"
"0000","90073","","100094"
"0000","90087","","100095"
"0000","90129","","100096"
"0000","90124","","100097"
"0000","90064","","100098"
"0000","90062","","100099"
"0530","90090","","100100"
"0001","90139","","100101"
"0000","90005","","100102"
"2160","90131","","100103"
"0000","90103","","100104"
"1280","90136","","100105"
"0000","90100","","100106"
"0000","90031","","100107"
"0000","90058","","100108"
"0000","90090","","100109"
"1980","90078","","100110"
"0000","90013","","100111"
"0000","90043","","100112"
"0420","90120","","100113"
"0000","90140","","100114"
"0000","90029","","100115"
"2430","90041","","100116"
"0000","90070","","100117"
"0000","90001","","100118"
"1940","90084","","100119"
"0000","90011","","100120"
"0000","90072","","100121"
"0000","90120","","100122"
"303-HSE4","90056","","100123"
"0000","90135","","100124"
"0000","90084","","100125"
"0000","90086","","100126"
"2180","90047","","100127"
"0000","90118","","100128"
"0000","90014","","100129"
"0000","90019","","100130"
"0000","90074","","100131"
"0000","90060","","100132"
"0000","90089","","100133"
"0000","90139","","100134"
"2050","90027","","100135"
"0000","90025","","100136"
"0000","90020","","100137"
"0000","90095","","100138"
"0000","90109","","100139"
"0000","90034","","100140"
"0000","90057","","100141"
"0000","90114","","100142"
"0000","90130","","100143"
"0000","90113","","100144"
"0000","90143","","100145"
"0000","90106","","100146"
"0001","90065","","100147"
"0000","90008","","100148"
"0000","90134","","100149"
"0080","90061","","100150"
"0000","90071","","100151"
"0000","90065","","100152"
"0000","90045","","100153"
"0000","90063","","100154"
"0000","90123","","100155"
"0000","90110","","100156"
"0000","90098","","100157"
"2160","90141","","100158"
"0000","90052","","100159"
"0000","90117","","100160"
"0001","90128","","100161"
"0001","90097","","100162"
"0000","90050","","100163"
"0000","90035","","100164"
"1150","90003","","100165"
"0000","90075","","100166"
"0000","90056","","100167"
"0000","90030","","100168"
"0000","90017","","100169"
"0000","90023","","100170"
"0000","90039","","100171"
"0000","90024","","100172"
