"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"PEARL ST AME CHURCH","2519 ROBINSON RD
ACTIVITY BLDG","","","JACKSON","MS","39209","","","","131368"
"PEARL ST AME CHURCH","ACTIVITY BLDG
2519 ROBINSON RD","","","JACKSON","MS","39209","","","","131368"
"FIRE STATION #14","3208 LYNCH ST","","","JACKSON","MS","39209","","","","131369"
"LAKE ELEMENTARY SCHOOL","473 MT VERNON AVE","","","JACKSON","MS","39209","","","","131371"
"JAYNE AVE SR COMMUNITY CENTER","3615 JAYNE AVE","","","JACKSON","MS","39209","","","","131372"
"BLACK'S CHAPEL MISSIONARY BAPTIST CHURCH","3425 ROBINSON ST","","","JACKSON","MS","39209","","","","131373"
"DAVIS TEMPLE CHURCH OF GOD","1700 DALTON ST","","","JACKSON","MS","39204","","","","131374"
"ST JAMES BAPTIST CHURCH","1301 JONES AVE","","","JACKSON","MS","39204","","","","131375"
"BELK-METRO CENTER","HWY 80 AT ROBINSON RD","","","JACKSON","MS","39204","","","","131377"
"WILKINS ELEMENTARY SCHOOL","1970 CASTLE HILL DR","","","JACKSON","MS","39204","","","","131379"
"APOSTOLIC RESTORATION MINISTRY","1020 W MCDOWELL RD","","","JACKSON","MS","39204","","","","131381"
"NEW HORIZON CHURCH","ELLIS AVE AT RAYMOND RD","","","JACKSON","MS","39204","","","","131382"
"LESTER ELEMENTARY SCHOOL","2350 OAKHURST DR","","","JACKSON","MS","39204","","","","131383"
"BAKER ELEMENTARY SCHOOL","300 E SANTA CLAIR ST","","","JACKSON","MS","39212","","","","131384"
"KEY ELEMENTARY SCHOOL","699 MCDOWELL RD","","","JACKSON","MS","39212","","","","131386"
"MARSHALL ELEMENTARY SCHOOL","2909 OAK FOREST DR","","","JACKSON","MS","39212","","","","131387"
"TREE OF LIFE CHURCH","3102 MONTICELLO DR","","","JACKSON","MS","39212","","","","131388"
"SYKES PARK COMMUNITY CENTER","520 SYKES RD","","","JACKSON","MS","39212","","","","131389"
"WHITTEN MIDDLE SCHOOL","210 DANIEL LAKE BLVD","","","JACKSON","MS","39212","","","","131390"
"ASCENSION LUTHERAN CHURCH","6481 OLD CANTON RD","","","JACKSON","MS","39211","","","","131391"
"VIRGINIA COLLEGE","5841 RIDGEWOOD RD","","","JACKSON","MS","39211","","","","131392"
"TOUGALOO COMMUNITY CENTER","318 VINE ST","","","JACKSON","MS","39213","","","","131394"
"TOUGALOO COMMUNITY CENTER","318 VINE ST","","","TOUGALOO","MS","39213","","","","131394"
"ALDERSGATE UNITED METH CHURCH","655 BEASLEY RD","","","JACKSON","MS","39206","","","","131396"
"HANGING MOSS CHURCH OF CHRIST","5225 HANGING MOSS RD","","","JACKSON","MS","39206","","","","131398"
"NEW HOPE BAPTIST CHURCH","5202 WATKINS DR","","","JACKSON","MS","39206","","","","1313100"
"CHINA GROVE BAPTIST CHURCH","457 FOREST AVE EXT","","","JACKSON","MS","39206","","","","1313101"
"CHINA GROVE BAPTIST CHURCH","457 FOREST AVENUE EXTENSION","","","JACKSON","MS","39206","","","","1313101"
"FIRE STATION #26","2223 FLAG CHAPEL DR","","","JACKSON","MS","39209","","","","1313102"
"TRIUMPH CHURCH","5302 QUEEN MARY LANE","","","JACKSON","MS","39209","","","","1313103"
"BLESSED TRINITY UNITED METH CHURCH","5045 CLINTON BLVD","","","JACKSON","MS","39209","","","","1313104"
"WESTSIDE COMMUNITY CENTER","1650 WIGGINS RD","","","JACKSON","MS","39209","","","","1313106"
"SEARS-METRO CENTER","HWY 80 AT ROBINSON RD","","","JACKSON","MS","39204","","","","1313107"
"WOODVILLE HEIGHTS ELEM SCHOOL","2930 MCDOWELL RD EXT","","","JACKSON","MS","39204","","","","1313108"
"WOODVILLE HEIGHTS ELEM SCHOOL","2930 MCDOWELL ROAD EXTENSION","","","JACKSON","MS","39204","","","","1313108"
"TIMBERLAWN ELEMENTARY SCHOOL","1900 N SIWELL RD","","","JACKSON","MS","39209","","","","1313110"
"TIMBERLAWN ELEMENTARY SCHOOL","1980 N SIWELL RD","","","JACKSON","MS","39209","","","","1313110"
"OAK FOREST ELEMENTARY SCHOOL","131 SMALLWOOD DR","","","JACKSON","MS","39212","","","","1313112"
"VICTORY AME ZION CHURCH","715 COOPER RD","","","JACKSON","MS","39212","","","","1313114"
"FOREST HILL UNITED METH CHURCH","2504 RAYMOND RD","","","JACKSON","MS","39212","","","","1313116"
"FOREST HILL UNITED METH CHURCH","2504 RAYMOND ROAD","","","JACKSON","MS","39212","","","","1313116"
"SIWELL ROAD CHURCH OF CHRIST","4075 SIWELL RD","","","JACKSON","MS","39212","","","","1313119"
"MIRACLE TEMPLE","418 LAKESHORE RD","","","JACKSON","MS","39212","","","","1313120"
