id,duplicate_id
546750548,546750886
546750886,546750548
546794644,546794545
546794644,546794647
546794644,546794982
546794545,546794644
546794545,546794647
546794545,546794982
546794647,546794644
546794647,546794545
546794647,546794982
546794982,546794644
546794982,546794545
546794982,546794647
547089489,547089495
547089495,547089489
547317411,547317801
547317801,547317411
546776998,546776309
546776249,546776397
546776251,546776587
546776251,546776189
546776309,546776998
546776858,546776568
546776865,546776653
546776587,546776251
546776587,546776189
546776653,546776865
546776568,546776858
546776189,546776251
546776189,546776587
546776397,546776249
546760589,546760653
546760653,546760589
547316317,547316489
547274055,547274590
547274590,547274055
547274233,547274583
547274583,547274233
547316489,547316317
546632277,546632833
546632833,546632277
546776571,546776930
546776386,546776192
546776690,546776873
546776690,546776210
546776930,546776571
546776873,546776690
546776873,546776210
546776192,546776386
546776210,546776690
546776210,546776873
546760612,546760632
546760632,546760612
546760285,546760246
546760246,546760285
546760318,546760143
546760358,546760157
546760266,546760400
546760400,546760266
546760157,546760358
546760143,546760318
546751026,546750939
546750939,546751026
546794717,546795157
546795157,546794717
546810133,546810671
546810671,546810133
547274189,547274719
547274408,547274133
547274133,547274408
547274719,547274189
546776376,546776871
546776871,546776376
546890609,546890622
546890622,546890609
546759772,546759717
546759717,546759772
546759861,546760003
546760003,546759861
546759727,546759930
546759712,546759830
546759712,546759648
546759830,546759712
546759830,546759648
546759930,546759727
546759648,546759712
546759648,546759830
546760062,546760067
546760067,546760062
546760021,546759924
546759924,546760021
546759691,546759856
546759856,546759691
546760087,546759821
546760087,546760006
546759821,546760087
546759821,546760006
546760006,546760087
546760006,546759821
546759766,546759657
546759657,546759766
546794619,546794541
546794541,546794619
547275322,547275465
547274598,547274640
547274598,547274370
547274517,547274278
547274381,547274158
547274381,547274184
547274522,547274250
547274522,547274068
547274250,547274522
547274250,547274068
547274640,547274598
547274640,547274370
547274167,547273980
547274773,547274351
547274278,547274517
547273980,547274167
547274158,547274381
547274158,547274184
547274184,547274381
547274184,547274158
547274351,547274773
547275465,547275322
547274068,547274522
547274068,547274250
547274370,547274598
547274370,547274640
546632892,546632720
546632720,546632892
547289811,547289556
547288831,547288609
547288831,547288766
547288609,547288831
547288609,547288766
547289556,547289811
547288766,547288831
547288766,547288609
546795023,546795047
546795047,546795023
546794781,546794782
546794782,546794781
547275000,547275466
547275466,547275000
546794854,546794726
546794854,546794849
546794726,546794854
546794726,546794849
546794849,546794854
546794849,546794726
546793990,546794092
